IMAX PE Ratio Historical Data,IMAX PE Ratio Historical Data,IMAX PE Ratio Historical Data,IMAX PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,20.84,,45.3
2023-12-31,15.02,$0.46,32.65
2023-09-30,19.32,$0.46,42.0
2023-06-30,16.99,$0.31,54.81
2023-03-31,19.18,$0.00,0.0
2022-12-31,14.66,$-0.09,0.0
2024-06-30,16.77,$-0.37,0.0
2022-09-30,14.12,$-0.27,0.0
2022-06-30,16.89,$-0.25,0.0
2022-03-31,18.93,$-0.14,0.0
2021-12-31,17.84,$-0.07,0.0
2021-09-30,18.98,$-0.49,0.0
2024-03-31,16.17,$-0.71,0.0
2021-06-30,21.5,$-1.57,0.0
2021-03-31,20.1,$-1.85,0.0
2020-12-31,18.02,$-2.42,0.0
2020-09-30,11.96,$-1.77,0.0
2020-06-30,11.21,$-0.82,0.0
2020-03-31,9.05,$-0.19,0.0
2019-12-31,20.43,$0.76,26.88
2019-09-30,21.95,$0.50,43.9
2019-06-30,20.2,$0.43,46.98
2019-03-31,22.68,$0.36,63.0
2018-12-31,18.81,$0.36,52.25
2018-09-30,25.8,$0.41,62.93
2018-06-30,22.15,$0.32,69.22
2018-03-31,19.2,$0.17,112.94
2017-12-31,23.15,$0.04,578.75
2017-09-30,22.65,$0.09,251.67
2017-06-30,22.0,$0.14,157.14
2017-03-31,34.0,$0.28,121.43
2016-12-31,31.4,$0.42,74.76
2016-09-30,28.97,$0.61,47.49
2016-06-30,29.48,$0.69,42.72
2016-03-31,31.09,$0.92,33.79
2015-12-31,35.54,$0.78,45.56
2015-09-30,33.79,$0.76,44.46
2015-06-30,40.27,$0.71,56.72
2015-03-31,33.71,$0.56,60.2
2014-12-31,30.9,$0.57,54.21
2014-09-30,27.46,$0.67,40.99
2014-06-30,28.48,$0.62,45.94
2014-03-31,27.33,$0.60,45.55
2013-12-31,29.48,$0.63,46.79
2013-09-30,30.24,$0.42,72.0
2013-06-30,24.86,$0.62,40.1
2013-03-31,26.73,$0.61,43.82
2012-12-31,22.48,$0.61,36.85
2012-09-30,19.91,$0.51,39.04
2012-06-30,24.03,$0.41,58.61
2012-03-31,24.44,$0.28,87.29
2011-12-31,18.33,$0.22,83.32
2011-09-30,14.48,$0.93,15.57
2011-06-30,32.43,$0.91,35.64
2011-03-31,31.98,$1.08,29.61
2010-12-31,28.07,$1.50,18.71
2010-09-30,16.86,$0.76,22.18
2010-06-30,14.6,$0.68,21.47
2010-03-31,17.99,$0.53,33.94
2009-12-31,13.31,$0.07,190.14
