ResMed PE Ratio Historical Data,ResMed PE Ratio Historical Data,ResMed PE Ratio Historical Data,ResMed PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,245.02,,35.36
2024-06-30,190.97,$6.93,27.56
2024-03-31,197.12,$6.51,30.28
2023-12-31,170.79,$6.05,28.23
2023-09-30,146.34,$6.16,23.76
2023-06-30,215.65,$6.10,35.35
2023-03-31,215.73,$5.87,36.75
2022-12-31,204.62,$5.51,37.14
2022-09-30,214.17,$5.35,40.03
2022-06-30,205.29,$5.31,38.66
2022-03-31,236.97,$5.31,44.63
2021-12-31,254.09,$3.55,71.58
2021-09-30,256.67,$3.41,75.27
2021-06-30,239.73,$3.24,73.99
2021-03-31,188.29,$3.13,60.16
2020-12-31,205.89,$4.79,42.98
2020-09-30,165.74,$4.66,35.57
2020-06-30,185.24,$4.27,43.38
2020-03-31,141.76,$3.53,40.16
2019-12-31,148.82,$3.14,47.4
2019-09-30,129.4,$2.90,44.62
2019-06-30,116.87,$2.80,41.74
2019-03-31,99.57,$3.08,32.33
2018-12-31,108.63,$3.11,34.93
2018-09-30,109.66,$2.32,47.27
2018-06-30,98.14,$2.19,44.81
2018-03-31,92.97,$2.14,43.44
2017-12-31,79.66,$2.00,39.83
2017-09-30,72.08,$2.47,29.18
2017-06-30,72.58,$2.41,30.12
2017-03-31,66.75,$2.29,29.15
2016-12-31,57.28,$2.30,24.9
2016-09-30,59.47,$2.40,24.78
2016-06-30,57.76,$2.43,23.77
2016-03-31,52.54,$2.45,21.45
2015-12-31,48.53,$2.46,19.73
2015-09-30,45.83,$2.46,18.63
2015-06-30,50.42,$2.47,20.41
2015-03-31,63.89,$2.47,25.86
2014-12-31,49.68,$2.46,20.19
2014-09-30,43.43,$2.42,17.95
2014-06-30,44.38,$2.40,18.49
2014-03-31,38.98,$2.29,17.02
2013-12-31,40.85,$2.24,18.23
2013-09-30,45.6,$2.17,21.02
2013-06-30,38.77,$2.10,18.46
2013-03-31,39.69,$2.13,18.63
2012-12-31,35.45,$1.99,17.81
2012-09-30,34.36,$1.88,18.28
2012-06-30,26.37,$1.72,15.33
2012-03-31,26.13,$1.56,16.75
2011-12-31,21.47,$1.46,14.71
2011-09-30,24.34,$1.41,17.26
2011-06-30,26.16,$1.44,18.17
2011-03-31,25.36,$1.41,17.99
2010-12-31,29.28,$1.39,21.14
2010-09-30,27.74,$1.32,21.09
2010-06-30,25.7,$1.25,20.56
2010-03-31,26.9,$1.17,23.09
2009-12-31,22.09,$1.13,19.64
