HP PE Ratio Historical Data,HP PE Ratio Historical Data,HP PE Ratio Historical Data,HP PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,36.18,,16.45
2024-07-31,36.09,$2.20,16.4
2024-04-30,27.88,$2.96,9.42
2024-01-31,28.24,$3.42,8.26
2023-10-31,25.66,$3.29,7.8
2023-07-31,31.71,$2.32,13.67
2023-04-30,28.46,$2.64,10.78
2023-01-31,27.65,$2.51,11.01
2022-10-31,25.97,$3.01,8.63
2022-07-31,31.11,$5.72,5.44
2022-04-30,33.91,$5.56,6.1
2022-01-31,33.76,$5.60,6.03
2021-10-31,27.7,$5.44,5.09
2021-07-31,26.19,$3.22,8.13
2021-04-30,30.74,$2.82,10.9
2021-01-31,21.8,$2.37,9.2
2020-10-31,15.95,$2.00,7.98
2020-07-31,15.47,$1.77,8.74
2020-04-30,13.52,$2.03,6.66
2020-01-31,18.42,$2.01,9.16
2019-10-31,14.87,$2.06,7.22
2019-07-31,17.87,$2.71,6.59
2019-04-30,16.8,$2.47,6.8
2019-01-31,18.56,$2.60,7.14
2018-10-31,20.19,$3.25,6.21
2018-07-31,19.2,$2.73,7.03
2018-04-30,17.77,$2.60,6.83
2018-01-31,19.17,$2.29,8.37
2017-10-31,17.6,$1.49,11.81
2017-07-31,15.49,$1.38,11.23
2017-04-30,15.15,$1.42,10.67
2017-01-31,12.02,$1.45,8.29
2016-10-31,11.48,$1.42,8.08
2016-07-31,11.01,$1.87,5.89
2016-04-30,9.55,$1.89,5.05
2016-01-31,7.47,$2.08,3.59
2015-10-31,9.33,$2.48,3.76
2015-07-31,10.49,$2.45,4.28
2015-04-30,11.27,$2.50,4.51
2015-01-31,12.29,$2.61,4.71
2014-10-31,12.16,$2.62,4.64
2014-07-31,12.01,$2.65,4.53
2014-04-30,11.1,$2.84,3.91
2014-01-31,9.69,$2.73,3.55
2013-10-31,8.1,$-1.50,0.0
2013-07-31,8.48,$-6.72,0.0
2013-04-30,6.76,$-6.63,0.0
2012-10-31,4.48,$-6.45,0.0
2012-07-31,5.85,$-2.84,0.0
2012-04-30,7.9,$2.28,3.46
2012-01-31,8.88,$2.41,3.68
2011-10-31,8.41,$2.73,3.08
2013-01-31,5.39,$3.78,1.43
2011-07-31,11.05,$4.25,2.6
2011-04-30,12.64,$4.07,3.11
2011-01-31,14.28,$3.93,3.63
2010-10-31,13.11,$3.72,3.53
2010-07-31,14.33,$3.61,3.97
2010-04-30,16.15,$3.53,4.58
2010-01-31,14.6,$3.32,4.4
2009-10-31,14.7,$3.11,4.73
