Nordson PE Ratio Historical Data,Nordson PE Ratio Historical Data,Nordson PE Ratio Historical Data,Nordson PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,256.56,,41.58
2024-07-31,249.57,$6.17,40.45
2024-04-30,256.75,$8.39,30.6
2024-01-31,249.68,$8.55,29.2
2023-10-31,210.3,$8.46,24.86
2023-07-31,248.17,$8.68,28.59
2023-04-30,212.72,$8.91,23.87
2023-01-31,238.63,$8.58,27.81
2022-10-31,220.07,$8.82,24.95
2022-07-31,225.3,$8.26,27.28
2022-04-30,209.85,$8.23,25.5
2022-01-31,225.75,$8.47,26.65
2021-10-31,246.27,$7.74,31.82
2021-07-31,218.59,$6.17,35.43
2021-04-30,203.96,$4.64,43.96
2021-01-31,172.32,$4.28,40.26
2020-10-31,185.86,$4.58,40.58
2020-01-31,161.19,$5.85,27.55
2019-10-31,149.34,$5.79,25.79
2019-07-31,134.52,$5.50,24.46
2019-04-30,138.22,$5.49,25.18
2019-01-31,122.46,$3.91,31.32
2018-10-31,115.53,$4.86,23.77
2018-07-31,125.97,$4.76,26.46
2018-04-30,120.51,$4.89,24.64
2018-01-31,134.39,$6.00,22.4
2017-10-31,118.22,$5.80,20.38
2017-07-31,118.22,$5.74,20.6
2017-04-30,116.28,$5.46,21.3
2020-04-30,153.95,$5.58,27.59
2016-10-31,92.56,$4.72,19.61
2016-07-31,81.38,$4.25,19.15
2016-04-30,70.53,$3.65,19.32
2016-01-31,55.34,$3.56,15.55
2015-10-31,64.99,$3.64,17.86
2017-01-31,105.21,$3.49,30.15
2015-07-31,67.35,$3.76,17.91
2015-04-30,72.2,$3.83,18.85
2015-01-31,65.86,$3.99,16.51
2014-10-31,68.99,$3.84,17.97
2014-07-31,67.56,$3.63,18.61
2014-04-30,66.67,$3.43,19.44
2014-01-31,62.0,$3.31,18.73
2013-10-31,64.32,$3.42,18.81
2013-07-31,64.21,$3.54,18.14
2013-04-30,61.71,$3.56,17.33
2013-01-31,59.91,$3.52,17.02
2012-10-31,52.17,$3.45,15.12
2012-07-31,45.19,$3.22,14.03
2012-04-30,47.41,$3.01,15.75
2012-01-31,39.79,$3.16,12.59
2011-10-31,40.56,$3.25,12.5
2011-07-31,44.51,$3.22,13.84
2011-04-30,49.58,$3.20,15.5
2011-01-31,40.09,$2.72,14.74
2010-10-31,33.81,$-1.06,0.0
2010-07-31,27.24,$-1.48,0.0
2010-04-30,30.94,$-2.08,0.0
2009-10-31,22.59,$-2.39,0.0
2009-07-31,19.15,$1.12,17.18
2009-04-30,15.4,$2.25,6.85
