Clearway Energy PE Ratio Historical Data,Clearway Energy PE Ratio Historical Data,Clearway Energy PE Ratio Historical Data,Clearway Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,27.54,,36.24
2024-06-30,24.33,$0.76,32.01
2024-03-31,22.71,$0.66,34.41
2023-12-31,26.54,$0.68,39.03
2023-09-30,20.15,$0.46,43.81
2023-06-30,26.78,$0.71,37.72
2023-03-31,28.99,$5.27,5.5
2022-12-31,29.14,$4.99,5.84
2022-09-30,28.83,$4.82,5.98
2022-06-30,31.23,$4.72,6.62
2022-03-31,32.4,$0.13,249.22
2021-12-31,31.64,$0.44,71.92
2021-09-30,26.35,$0.30,87.82
2021-06-30,22.8,$0.39,58.47
2021-03-31,23.94,$0.50,47.88
2020-12-31,26.85,$0.21,127.84
2020-09-30,22.42,$0.36,62.29
2020-06-30,18.95,$0.45,42.11
2020-03-31,15.3,$-0.18,0.0
2019-12-31,16.08,$-0.10,0.0
2019-09-30,14.56,$-0.67,0.0
2019-06-30,13.3,$-0.83,0.0
2019-03-31,11.76,$0.00,0.0
2018-12-31,13.25,$0.34,38.98
2018-09-30,14.53,$0.25,58.1
2018-06-30,12.77,$0.32,39.92
2018-03-31,12.41,$-0.01,0.0
2017-12-31,13.53,$-0.20,0.0
2017-09-30,13.61,$0.42,32.42
2017-06-30,12.23,$0.45,27.17
2017-03-31,12.11,$0.48,25.24
2016-12-31,10.66,$0.56,19.03
2016-09-30,11.26,$0.81,13.9
2016-06-30,10.21,$0.69,14.79
2016-03-31,9.18,$0.53,17.33
2015-12-31,9.35,$0.41,22.81
2015-09-30,7.24,$0.27,26.82
2015-06-30,13.48,$0.19,70.96
2015-03-31,31.01,$0.17,182.42
2014-12-31,28.82,$0.24,120.07
2014-09-30,28.76,$0.23,125.05
2014-06-30,31.82,$0.13,244.76
