ODP PE Ratio Historical Data,ODP PE Ratio Historical Data,ODP PE Ratio Historical Data,ODP PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,31.14,,0.0
2024-06-30,39.27,$-0.85,0.0
2024-03-31,53.05,$2.07,25.63
2023-12-31,56.3,$2.03,27.73
2023-09-30,46.15,$4.37,10.56
2023-06-30,46.82,$3.12,15.01
2022-12-31,45.54,$3.34,13.63
2022-09-30,35.15,$-2.28,0.0
2022-06-30,30.24,$-1.92,0.0
2022-03-31,45.83,$-0.61,0.0
2021-12-31,39.28,$-3.32,0.0
2023-03-31,44.98,$2.89,15.56
2021-09-30,40.16,$1.52,26.42
2021-06-30,48.01,$0.71,67.62
2021-03-31,43.29,$-5.86,0.0
2020-12-31,29.3,$-6.01,0.0
2020-09-30,19.45,$-5.35,0.0
2020-06-30,23.5,$-5.29,0.0
2020-03-31,16.4,$2.50,6.56
2019-12-31,27.11,$1.80,15.06
2019-09-30,17.18,$0.60,28.64
2019-06-30,19.83,$0.60,33.05
2019-03-31,34.51,$1.30,26.55
2018-12-31,24.35,$1.90,12.82
2018-09-30,30.06,$1.10,27.33
2018-06-30,23.7,$1.70,13.94
2018-03-31,19.77,$1.90,10.41
2017-12-31,32.22,$3.40,9.48
2017-09-30,41.0,$5.90,6.95
2017-06-30,50.62,$5.00,10.12
2017-03-31,41.66,$8.30,5.02
2016-12-31,40.16,$6.90,5.82
2016-09-30,31.55,$5.70,5.54
2016-06-30,29.06,$5.00,5.81
2016-03-31,62.33,$0.10,623.3
2015-12-31,49.51,$0.10,495.13
2015-09-30,56.36,$-1.70,0.0
2015-06-30,76.02,$-1.30,0.0
2015-03-31,80.77,$-3.80,0.0
2014-12-31,75.28,$-6.70,0.0
2014-09-30,45.12,$-8.60,0.0
2014-06-30,49.95,$-5.00,0.0
2014-03-31,36.26,$-3.70,0.0
2013-12-31,46.44,$-2.20,0.0
2013-09-30,42.4,$0.60,70.67
2013-06-30,33.97,$-6.00,0.0
2013-03-31,34.5,$-6.00,0.0
2012-12-31,28.79,$-5.00,0.0
2012-09-30,22.47,$-1.60,0.0
2012-06-30,18.96,$-0.20,0.0
2011-12-31,18.87,$1.60,11.8
2011-09-30,18.08,$-0.90,0.0
2011-06-30,37.05,$-2.30,0.0
2011-03-31,40.65,$0.60,67.74
2010-12-31,47.41,$0.40,118.51
2012-03-31,30.29,$3.20,9.46
2010-09-30,40.38,$-1.00,0.0
2010-06-30,35.47,$-17.90,0.0
2010-03-31,70.05,$-20.20,0.0
2009-12-31,56.62,$-22.90,0.0
