AMD PE Ratio Historical Data,AMD PE Ratio Historical Data,AMD PE Ratio Historical Data,AMD PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,148.56,,181.17
2024-06-30,162.21,$0.82,197.82
2024-03-31,180.49,$0.68,265.43
2023-12-31,147.41,$0.52,283.48
2023-09-30,102.82,$0.12,856.83
2023-06-30,113.91,$-0.02,0.0
2023-03-31,98.01,$0.23,426.13
2022-12-31,64.77,$0.88,73.6
2022-09-30,63.36,$1.67,37.94
2022-06-30,76.47,$2.38,32.13
2022-03-31,109.34,$2.69,40.65
2021-12-31,143.9,$2.58,55.78
2021-09-30,102.9,$3.23,31.86
2021-06-30,93.93,$2.61,35.99
2021-03-31,78.5,$2.17,36.18
2020-12-31,91.71,$1.87,49.04
2020-06-30,52.61,$0.53,99.26
2020-03-31,45.48,$0.43,105.77
2019-12-31,45.86,$0.30,152.87
2019-09-30,28.99,$0.19,152.58
2019-06-30,30.37,$0.17,178.65
2019-03-31,25.52,$0.25,102.08
2018-12-31,18.46,$0.32,57.69
2018-09-30,30.89,$0.34,90.85
2018-06-30,14.99,$0.57,26.3
2018-03-31,10.05,$0.53,18.96
2017-12-31,10.28,$0.43,23.91
2020-09-30,81.99,$0.29,282.72
2017-09-30,12.75,$-0.09,0.0
2017-06-30,12.48,$-0.66,0.0
2017-03-31,14.55,$-0.77,0.0
2016-12-31,11.34,$-0.94,0.0
2016-09-30,6.91,$-1.11,0.0
2015-12-31,2.87,$-0.84,0.0
2015-09-30,1.72,$-1.18,0.0
2015-06-30,2.4,$-0.85,0.0
2015-03-31,2.68,$-0.60,0.0
2014-12-31,2.67,$-0.42,0.0
2016-06-30,5.14,$0.02,257.0
2014-09-30,3.41,$0.06,56.83
2014-06-30,4.19,$0.10,41.9
2014-03-31,4.01,$0.01,0.0
2013-12-31,3.87,$-0.06,0.0
2013-09-30,3.81,$-0.37,0.0
2016-03-31,2.85,$-1.06,0.0
2013-06-30,4.08,$-1.13,0.0
2013-03-31,2.55,$-0.98,0.0
2012-12-31,2.4,$-1.59,0.0
2012-09-30,3.37,$-1.20,0.0
2012-06-30,5.73,$-0.86,0.0
2012-03-31,8.02,$-0.83,0.0
2011-12-31,5.4,$0.65,8.31
2011-09-30,5.08,$1.39,3.65
2011-06-30,6.99,$1.09,6.41
2011-03-31,8.6,$0.95,9.05
2010-12-31,8.18,$0.62,13.19
2010-09-30,7.11,$1.64,4.34
2010-06-30,7.32,$1.63,4.49
2010-03-31,9.27,$1.19,7.79
2009-12-31,9.68,$0.18,53.78
