Vital Energy PE Ratio Historical Data,Vital Energy PE Ratio Historical Data,Vital Energy PE Ratio Historical Data,Vital Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,27.44,,3.11
2024-06-30,44.82,$8.81,5.09
2024-03-31,52.54,$24.13,2.18
2023-12-31,45.49,$32.89,1.38
2023-09-30,55.42,$30.58,1.81
2023-06-30,45.15,$50.40,0.9
2023-03-31,45.54,$49.51,0.92
2022-12-31,51.42,$37.44,1.37
2022-09-30,62.85,$43.15,1.46
2022-06-30,68.94,$31.63,2.18
2022-03-31,79.14,$5.75,13.76
2021-12-31,60.13,$4.60,13.07
2021-09-30,81.07,$-22.42,0.0
2021-06-30,92.79,$-51.30,0.0
2021-03-31,30.06,$-87.58,0.0
2020-12-31,19.7,$-61.05,0.0
2020-09-30,9.8,$-67.67,0.0
2020-06-30,13.86,$-70.15,0.0
2020-03-31,7.6,$-8.40,0.0
2019-12-31,57.4,$-29.40,0.0
2019-09-30,48.2,$4.40,10.95
2019-06-30,58.0,$32.00,1.81
2019-03-31,61.8,$24.20,2.55
2018-12-31,72.4,$59.00,1.23
2018-09-30,163.4,$47.00,3.48
2018-03-31,174.2,$47.20,3.69
2017-12-31,212.2,$45.60,4.65
2017-09-30,258.6,$10.00,25.86
2017-06-30,210.4,$9.80,21.47
2017-03-31,292.0,$-1.80,0.0
2016-12-31,282.8,$-24.40,0.0
2016-09-30,258.0,$-114.20,0.0
2016-06-30,209.6,$-195.20,0.0
2016-03-31,158.6,$-226.20,0.0
2015-12-31,159.8,$-206.40,0.0
2015-09-30,188.6,$-115.00,0.0
2015-06-30,251.6,$-6.80,0.0
2018-06-30,192.4,$42.40,4.54
2015-03-31,260.8,$37.00,7.05
2014-12-31,207.0,$37.00,5.59
2014-09-30,448.2,$18.60,24.1
2014-06-30,619.6,$8.80,70.41
2014-03-31,517.2,$16.80,30.79
2013-12-31,553.8,$17.00,32.58
2013-09-30,593.6,$9.20,64.52
2013-06-30,411.2,$6.20,66.32
2013-03-31,365.8,$5.60,65.32
2012-12-31,363.2,$9.40,38.64
2012-09-30,439.6,$7.80,56.36
