Astrana Health PE Ratio Historical Data,Astrana Health PE Ratio Historical Data,Astrana Health PE Ratio Historical Data,Astrana Health PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,61.37,,42.62
2024-06-30,40.56,$1.44,28.17
2024-03-31,41.99,$1.32,31.81
2023-12-31,38.3,$1.32,29.02
2023-09-30,30.85,$1.00,30.85
2023-06-30,31.6,$1.09,28.99
2023-03-31,36.47,$1.06,34.41
2022-12-31,29.59,$1.06,27.92
2022-09-30,39.0,$1.42,27.46
2022-06-30,38.59,$1.60,24.12
2022-03-31,48.47,$1.63,29.74
2021-12-31,73.48,$1.62,45.36
2021-09-30,91.05,$1.59,57.26
2021-06-30,62.81,$1.30,48.32
2021-03-31,27.09,$1.21,22.39
2020-12-31,18.27,$1.02,17.91
2020-09-30,17.94,$0.93,19.29
2020-06-30,16.5,$0.58,28.45
2020-03-31,12.92,$0.48,26.92
2019-12-31,18.41,$0.37,49.76
2019-09-30,17.62,$0.11,160.18
2019-06-30,16.71,$0.25,66.84
2019-03-31,18.32,$0.23,79.65
2018-12-31,19.85,$0.29,68.45
2018-09-30,22.07,$0.37,59.65
