News PE Ratio Historical Data,News PE Ratio Historical Data,News PE Ratio Historical Data,News PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,28.33,,70.83
2024-06-30,27.57,$0.40,68.93
2024-03-31,26.18,$0.40,65.45
2023-12-31,24.46,$0.47,52.04
2023-06-30,19.33,$0.27,71.61
2023-03-31,17.12,$0.47,36.43
2022-12-31,17.93,$0.43,41.7
2022-09-30,14.89,$0.45,33.08
2022-06-30,15.26,$0.78,19.56
2023-09-30,19.98,$0.92,21.72
2022-03-31,21.69,$0.85,25.52
2021-12-31,21.75,$0.84,25.89
2021-09-30,22.94,$0.83,27.64
2021-06-30,25.01,$0.56,44.66
2021-03-31,24.68,$-0.09,0.0
2020-12-31,17.37,$-1.46,0.0
2020-09-30,13.55,$-1.71,0.0
2020-06-30,11.39,$-2.16,0.0
2020-03-31,8.62,$-1.58,0.0
2019-12-31,13.46,$-0.32,0.0
2019-09-30,13.25,$-0.30,0.0
2019-06-30,12.75,$0.26,49.04
2019-03-31,11.76,$-0.29,0.0
2018-12-31,10.73,$-2.25,0.0
2018-09-30,12.47,$-2.55,0.0
2018-06-30,14.53,$-2.60,0.0
2018-03-31,14.82,$-2.70,0.0
2017-12-31,15.11,$-0.77,0.0
2017-09-30,12.36,$-1.13,0.0
2017-06-30,12.67,$-1.10,0.0
2017-03-31,12.03,$-0.62,0.0
2016-12-31,10.52,$-0.50,0.0
2016-06-30,10.34,$0.30,34.47
2016-03-31,11.63,$-0.50,0.0
2015-12-31,12.06,$-0.27,0.0
2015-09-30,11.4,$-0.34,0.0
2015-06-30,13.07,$-0.40,0.0
2016-09-30,12.83,$0.36,35.63
2015-03-31,14.35,$0.41,34.99
2014-12-31,14.06,$0.45,31.24
2014-09-30,14.65,$0.26,56.35
2014-06-30,16.07,$-1.79,0.0
2014-03-31,15.43,$-1.55,0.0
