IDT PE Ratio Historical Data,IDT PE Ratio Historical Data,IDT PE Ratio Historical Data,IDT PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,47.15,,43.26
2024-07-31,38.18,$1.09,35.03
2024-04-30,35.45,$1.40,25.32
2024-01-31,34.44,$1.45,23.75
2023-10-31,27.94,$1.45,19.27
2023-07-31,23.63,$1.58,14.95
2023-04-30,33.08,$1.93,17.14
2023-01-31,29.27,$1.84,15.91
2022-10-31,25.96,$1.55,16.75
2022-07-31,25.93,$1.02,25.42
2022-04-30,26.37,$1.82,14.49
2022-01-31,37.38,$3.03,12.34
2021-10-31,48.18,$3.26,14.78
2021-07-31,49.6,$3.68,13.48
2021-04-30,23.91,$3.04,7.87
2021-01-31,13.97,$1.67,8.37
2020-10-31,9.49,$1.20,7.91
2020-07-31,6.48,$0.82,7.91
2020-04-30,5.38,$0.06,89.64
2020-01-31,7.53,$0.19,39.63
2019-10-31,6.78,$0.16,42.39
2019-07-31,10.12,$0.16,63.25
2019-04-30,7.09,$0.43,16.49
2019-01-31,7.15,$0.14,51.08
2018-10-31,7.01,$0.19,36.9
2018-07-31,5.23,$0.17,30.76
2018-04-30,5.33,$-0.57,0.0
2018-01-31,9.04,$-0.64,0.0
2017-10-31,10.76,$0.26,41.39
2017-07-31,11.92,$0.82,14.53
2017-04-30,12.07,$1.42,8.5
2016-10-31,13.86,$1.81,7.66
2016-07-31,11.7,$1.03,11.36
2016-04-30,9.83,$0.60,16.39
2016-01-31,8.04,$0.45,17.86
2015-10-31,8.06,$0.29,27.8
2015-07-31,10.46,$0.22,47.56
2017-01-31,15.03,$3.64,4.13
2015-04-30,10.37,$3.93,2.64
2015-01-31,12.88,$4.13,3.12
2014-10-31,9.18,$4.13,2.22
2014-07-31,8.6,$0.81,10.61
2014-04-30,8.65,$0.31,27.91
2014-01-31,9.19,$0.48,19.15
2013-10-31,11.72,$0.50,23.45
2013-07-31,9.45,$2.04,4.63
2013-04-30,6.76,$2.35,2.88
2013-01-31,4.67,$2.08,2.25
2012-07-31,4.35,$1.74,2.5
2012-04-30,3.57,$0.06,59.42
2012-01-31,3.68,$0.08,45.96
2011-10-31,4.74,$0.27,17.55
2011-07-31,5.51,$0.66,8.35
2012-10-31,4.4,$1.35,3.26
2011-04-30,6.6,$1.52,4.34
2011-01-31,5.24,$1.79,2.93
2010-10-31,3.31,$1.78,1.86
2010-07-31,4.17,$0.91,4.59
2010-04-30,2.23,$0.93,2.4
2010-01-31,1.0,$-2.53,0.0
2009-10-31,0.88,$-5.41,0.0
