CDW PE Ratio Historical Data,CDW PE Ratio Historical Data,CDW PE Ratio Historical Data,CDW PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,225.64,,27.65
2024-06-30,223.24,$8.16,27.36
2024-03-31,254.41,$8.01,31.76
2023-12-31,225.54,$8.10,27.84
2023-09-30,199.61,$8.01,24.92
2023-06-30,181.01,$7.86,23.03
2023-03-31,191.57,$7.98,24.01
2022-12-31,175.04,$8.13,21.53
2022-09-30,152.51,$7.61,20.04
2022-06-30,153.54,$7.35,20.89
2022-03-31,173.77,$7.24,24.0
2021-12-31,198.34,$7.04,28.17
2021-09-30,175.85,$7.12,24.7
2021-06-30,168.39,$6.54,25.75
2021-03-31,159.43,$5.92,26.93
2020-12-31,126.45,$5.45,23.2
2020-09-30,114.35,$5.07,22.56
2020-06-30,110.78,$5.11,21.68
2020-03-31,88.62,$5.13,17.27
2019-12-31,135.32,$4.99,27.12
2019-09-30,116.42,$4.77,24.41
2019-06-30,104.59,$4.60,22.74
2019-03-31,90.54,$4.39,20.62
2018-12-31,75.91,$4.19,18.12
2018-09-30,83.01,$4.40,18.87
2018-06-30,75.23,$4.03,18.67
2018-03-31,65.3,$3.80,17.19
2017-12-31,64.35,$3.33,19.33
2017-09-30,60.93,$2.70,22.57
2017-06-30,57.58,$2.63,21.89
2017-03-31,52.99,$2.44,21.72
2016-12-31,47.7,$2.55,18.71
2016-09-30,41.75,$2.44,17.11
2016-06-30,36.5,$2.56,14.26
2016-03-31,37.7,$2.49,15.14
2015-12-31,38.08,$2.35,16.21
2015-09-30,36.93,$2.13,17.34
2015-06-30,30.93,$1.57,19.7
2015-03-31,33.53,$1.44,23.29
2014-12-31,31.61,$1.42,22.26
2014-09-30,27.85,$1.47,18.95
2014-06-30,28.56,$1.14,25.06
2014-03-31,24.55,$0.96,25.57
