AAR PE Ratio Historical Data,AAR PE Ratio Historical Data,AAR PE Ratio Historical Data,AAR PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,62.4,,55.22
2024-08-31,65.78,$1.13,58.21
2024-05-31,70.99,$1.29,55.03
2024-02-29,66.78,$1.65,40.47
2023-08-31,61.6,$1.90,32.42
2023-05-31,50.11,$2.55,19.65
2023-02-28,54.39,$2.55,21.33
2022-11-30,46.56,$2.51,18.55
2022-08-31,42.88,$2.19,19.58
2022-05-31,48.22,$1.95,24.73
2021-11-30,32.66,$2.08,15.7
2021-08-31,33.85,$1.73,19.57
2021-05-31,41.75,$0.99,42.17
2021-02-28,39.78,$0.13,306.0
2020-11-30,28.37,$-0.60,0.0
2020-08-31,20.18,$-0.43,0.0
2020-05-31,20.17,$0.12,168.08
2020-02-29,34.41,$1.24,27.75
2019-11-30,44.43,$1.85,24.02
2019-08-31,42.63,$0.37,115.23
2019-05-31,29.81,$0.44,67.75
2023-11-30,69.3,$0.22,315.0
2019-02-28,36.11,$-0.11,0.0
2018-11-30,43.1,$1.41,30.57
2018-08-31,45.96,$1.83,25.11
2018-05-31,43.94,$1.80,24.41
2018-02-28,41.79,$1.81,23.09
2017-05-31,34.1,$1.65,20.66
2017-02-28,33.52,$1.38,24.29
2016-11-30,35.84,$1.61,22.26
2016-08-31,23.85,$1.40,17.04
2016-05-31,23.59,$1.35,17.47
2022-02-28,44.94,$1.65,27.24
2016-02-29,20.51,$1.38,14.86
2015-11-30,23.58,$0.36,65.49
2015-08-31,23.28,$-0.53,0.0
2015-05-31,28.18,$-0.80,0.0
2015-02-28,27.98,$-0.80,0.0
2017-11-30,40.74,$0.51,79.88
2014-11-30,24.33,$1.62,15.02
2014-08-31,26.21,$1.74,15.07
2014-05-31,22.93,$1.69,13.57
2014-02-28,27.2,$1.71,15.9
2013-11-30,29.3,$1.27,23.07
2017-08-31,35.26,$1.23,28.67
2013-08-31,23.48,$1.36,17.27
2013-05-31,18.72,$1.36,13.77
2013-02-28,16.33,$1.67,9.78
2012-11-30,14.22,$1.71,8.32
2012-08-31,13.71,$1.70,8.07
2012-05-31,11.04,$1.66,6.65
2012-02-29,20.11,$1.86,10.81
2011-11-30,16.6,$1.80,9.22
2011-08-31,21.35,$1.79,11.93
2011-05-31,23.83,$1.73,13.77
2011-02-28,24.57,$1.50,16.38
2010-11-30,22.11,$1.32,16.75
2010-08-31,13.83,$1.24,11.15
2010-05-31,17.73,$1.16,15.29
2010-02-28,20.42,$1.36,15.01
2009-11-30,16.8,$1.57,10.7
