Marsh & McLennan PE Ratio Historical Data,Marsh & McLennan PE Ratio Historical Data,Marsh & McLennan PE Ratio Historical Data,Marsh & McLennan PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,227.51,,28.16
2024-06-30,209.93,$8.08,25.98
2024-03-31,204.49,$7.88,25.95
2023-12-31,187.43,$7.53,24.89
2023-09-30,187.56,$6.94,27.03
2023-06-30,184.69,$6.55,28.2
2023-03-31,162.97,$6.39,25.5
2022-12-31,161.38,$6.02,26.81
2022-09-30,145.04,$6.66,21.78
2022-06-30,150.27,$6.63,22.67
2022-03-31,164.44,$6.32,26.02
2021-12-31,167.14,$6.13,27.27
2021-09-30,145.11,$5.29,27.43
2021-06-30,134.32,$4.86,27.64
2021-03-31,115.86,$4.38,26.45
2020-12-31,110.82,$3.95,28.06
2020-09-30,108.2,$3.98,27.19
2020-06-30,100.88,$3.95,25.54
2020-03-31,80.81,$3.48,23.22
2019-12-31,103.72,$3.40,30.51
2019-09-30,92.71,$2.94,31.53
2019-06-30,92.02,$2.89,31.84
2019-03-31,86.24,$3.28,26.29
2018-12-31,73.24,$3.22,22.75
2018-09-30,75.58,$2.98,25.36
2018-06-30,74.53,$3.20,23.29
2018-03-31,74.75,$3.12,23.96
2017-12-31,73.34,$2.87,25.55
2017-09-30,75.18,$3.65,20.6
2017-06-30,69.93,$3.62,19.32
2017-03-31,65.97,$3.56,18.53
2016-12-31,60.05,$3.38,17.77
2016-09-30,59.44,$3.25,18.29
2016-06-30,60.2,$3.13,19.23
2016-03-31,53.19,$3.00,17.73
2015-12-31,48.22,$2.97,16.24
2015-09-30,45.15,$2.80,16.13
2015-06-30,48.76,$2.73,17.86
2015-03-31,48.0,$2.73,17.58
2014-12-31,48.74,$2.65,18.39
2014-09-30,44.33,$2.65,16.73
2014-06-30,43.65,$2.56,17.05
2014-03-31,41.31,$2.48,16.66
2013-12-31,40.3,$2.42,16.65
2013-09-30,36.08,$2.35,15.35
2013-06-30,32.87,$2.34,14.05
2013-03-31,31.07,$2.24,13.87
2012-12-31,28.03,$2.13,13.16
2012-09-30,27.4,$2.13,12.87
2012-06-30,25.85,$1.93,13.39
2012-03-31,26.12,$1.84,14.19
2011-12-31,25.01,$1.79,13.97
2011-09-30,20.83,$1.69,12.33
2011-06-30,24.3,$1.75,13.89
2011-03-31,23.07,$1.68,13.73
2010-12-31,21.0,$1.56,13.46
2010-09-30,18.36,$1.26,14.57
2010-06-30,17.02,$1.38,12.33
2010-03-31,18.28,$0.58,31.51
2009-12-31,16.38,$0.46,35.6
