Pampa Energia S.A PE Ratio Historical Data,Pampa Energia S.A PE Ratio Historical Data,Pampa Energia S.A PE Ratio Historical Data,Pampa Energia S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,67.85,,10.28
2024-06-30,44.26,$6.60,6.71
2024-03-31,43.14,$7.81,5.52
2023-12-31,49.52,$5.47,9.05
2023-09-30,37.36,$10.42,3.59
2023-06-30,43.32,$10.85,3.99
2023-03-31,32.98,$9.04,3.65
2022-12-31,31.94,$8.27,3.86
2022-09-30,22.77,$6.92,3.29
2022-06-30,20.48,$6.05,3.39
2022-03-31,23.63,$6.11,3.87
2021-12-31,21.11,$4.99,4.23
2021-09-30,17.47,$-3.67,0.0
2021-06-30,15.17,$-4.74,0.0
2021-03-31,14.84,$-5.94,0.0
2020-12-31,13.78,$-6.40,0.0
2020-09-30,10.33,$1.69,6.11
2020-06-30,10.49,$2.03,5.17
2020-03-31,11.3,$7.37,1.53
2019-12-31,16.43,$9.11,1.8
2019-09-30,17.36,$12.00,1.45
2019-06-30,34.67,$7.35,4.72
2019-03-31,27.57,$0.50,55.14
2018-12-31,31.81,$0.40,79.53
2018-09-30,31.05,$-1.61,0.0
2018-06-30,35.77,$2.37,15.09
2018-03-31,59.6,$3.75,15.89
2017-12-31,67.28,$3.47,19.39
2017-09-30,65.1,$3.32,19.61
2017-06-30,58.85,$1.44,40.87
2017-03-31,54.22,$0.82,66.12
2016-12-31,34.81,$-0.13,0.0
2016-09-30,32.4,$2.22,14.59
2016-06-30,27.34,$3.21,8.52
2016-03-31,21.44,$4.01,5.35
2015-12-31,20.55,$5.02,4.09
2015-09-30,15.27,$3.22,4.74
2015-06-30,13.81,$3.35,4.12
2015-03-31,17.67,$3.97,4.45
2014-12-31,10.02,$1.41,7.11
2014-09-30,10.75,$-0.24,0.0
2014-06-30,9.8,$-0.95,0.0
2014-03-31,5.83,$1.53,3.81
2013-12-31,5.24,$1.06,4.94
2013-09-30,5.0,$0.45,11.11
2013-06-30,3.24,$-0.01,0.0
2013-03-31,4.02,$-3.64,0.0
2012-12-31,3.44,$-2.47,0.0
2012-09-30,3.69,$-4.24,0.0
2012-06-30,4.15,$-3.77,0.0
2012-03-31,8.6,$-3.71,0.0
2011-12-31,10.68,$-3.43,0.0
2011-09-30,11.47,$-0.66,0.0
2011-06-30,15.24,$-0.16,0.0
2011-03-31,14.08,$0.19,74.09
2010-12-31,16.8,$0.14,119.98
2010-09-30,11.35,$-0.02,0.0
