ATI PE Ratio Historical Data,ATI PE Ratio Historical Data,ATI PE Ratio Historical Data,ATI PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,63.33,,24.84
2024-06-30,55.45,$2.55,21.75
2024-03-31,51.17,$2.49,20.55
2023-12-31,45.47,$2.51,18.12
2023-09-30,41.15,$2.05,20.07
2023-06-30,44.23,$1.95,22.68
2023-03-31,39.46,$1.12,35.23
2022-12-31,29.86,$0.87,34.32
2022-09-30,26.61,$0.11,241.91
2022-06-30,22.71,$0.04,567.75
2022-03-31,26.84,$-0.04,0.0
2021-12-31,15.93,$-0.33,0.0
2021-09-30,16.63,$-8.95,0.0
2021-06-30,20.85,$-9.70,0.0
2021-03-31,21.06,$-12.65,0.0
2020-12-31,16.77,$-12.43,0.0
2020-09-30,8.72,$-3.17,0.0
2020-06-30,10.19,$-1.99,0.0
2020-03-31,8.5,$1.89,4.5
2019-12-31,20.66,$1.85,11.17
2019-09-30,20.25,$1.74,11.64
2019-06-30,25.2,$1.33,18.95
2019-03-31,25.57,$1.31,19.52
2018-12-31,21.77,$1.61,13.52
2018-09-30,29.55,$1.32,22.39
2018-06-30,25.12,$-0.17,0.0
2018-03-31,23.68,$-0.60,0.0
2017-12-31,24.14,$-0.86,0.0
2017-09-30,23.9,$-0.78,0.0
2017-06-30,17.01,$0.16,106.31
2017-03-31,17.96,$-0.87,0.0
2016-12-31,15.93,$-3.15,0.0
2016-06-30,12.69,$-4.59,0.0
2016-03-31,16.12,$-4.56,0.0
2015-12-31,11.07,$-3.53,0.0
2015-09-30,13.85,$-1.21,0.0
2015-06-30,29.22,$0.13,224.8
2015-03-31,28.89,$0.25,115.55
2014-12-31,33.29,$-0.03,0.0
2014-09-30,35.31,$1.39,25.4
2014-06-30,42.74,$-3.55,0.0
2014-03-31,35.55,$-3.84,0.0
2013-12-31,33.43,$-3.61,0.0
2016-09-30,18.07,$-5.14,0.0
2013-09-30,28.48,$-0.09,0.0
2013-06-30,24.39,$0.55,44.34
2013-03-31,29.22,$1.01,28.93
2012-12-31,27.83,$1.42,19.6
2012-09-30,29.05,$1.61,18.04
2012-06-30,28.89,$1.85,15.62
2012-03-31,37.1,$1.94,19.13
2011-12-31,42.89,$1.98,21.66
2011-09-30,33.06,$1.84,17.97
2011-06-30,56.51,$1.29,43.8
2011-03-31,60.12,$1.06,56.72
2010-12-31,48.85,$0.70,69.78
2010-09-30,40.99,$0.91,45.05
2010-06-30,38.85,$0.91,42.69
2010-03-31,47.3,$0.41,115.36
2009-12-31,39.08,$0.29,134.76
