Myriad Genetics PE Ratio Historical Data,Myriad Genetics PE Ratio Historical Data,Myriad Genetics PE Ratio Historical Data,Myriad Genetics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,23.33,,0.0
2024-06-30,24.46,$-1.81,0.0
2024-03-31,21.32,$-2.82,0.0
2023-12-31,19.14,$-3.20,0.0
2023-09-30,16.04,$-3.36,0.0
2023-06-30,23.18,$-3.04,0.0
2023-03-31,23.23,$-1.80,0.0
2022-12-31,14.51,$-1.39,0.0
2022-09-30,19.08,$-0.97,0.0
2022-06-30,18.17,$-0.24,0.0
2022-03-31,25.2,$-0.12,0.0
2021-12-31,27.6,$-0.38,0.0
2021-09-30,32.29,$-0.28,0.0
2021-06-30,30.58,$-0.78,0.0
2021-03-31,30.45,$-1.46,0.0
2020-12-31,19.78,$-2.49,0.0
2020-09-30,13.04,$-2.60,0.0
2020-06-30,11.34,$-2.68,0.0
2020-03-31,14.31,$-1.85,0.0
2019-12-31,27.23,$-0.27,0.0
2019-09-30,28.63,$-0.17,0.0
2019-03-31,33.2,$0.11,301.82
2018-12-31,29.07,$0.18,161.5
2018-09-30,46.0,$0.60,76.67
2018-06-30,37.37,$1.76,21.23
2018-03-31,29.55,$1.82,16.24
2017-12-31,34.35,$1.75,19.63
2017-09-30,36.18,$1.28,28.27
2017-03-31,19.2,$0.13,147.69
2016-12-31,16.67,$0.51,32.69
2016-09-30,20.58,$0.83,24.8
2016-06-30,30.6,$1.22,25.08
2016-03-31,37.43,$1.22,30.68
2015-12-31,43.16,$1.07,40.34
2015-09-30,37.48,$0.98,38.24
2015-06-30,33.99,$0.82,41.45
2015-03-31,35.4,$0.82,43.17
2014-12-31,34.06,$1.01,33.72
2014-09-30,38.57,$1.35,28.57
2014-06-30,38.92,$1.82,21.38
2014-03-31,34.19,$1.82,18.79
2013-12-31,20.98,$1.80,11.66
2013-09-30,23.5,$1.56,15.06
2013-06-30,26.87,$1.24,21.67
2013-03-31,25.41,$1.24,20.49
2012-12-31,27.25,$1.12,24.33
2012-09-30,26.95,$1.03,26.17
2012-06-30,23.77,$0.96,24.76
2012-03-31,23.66,$0.96,24.65
2011-12-31,20.94,$0.93,22.52
2011-09-30,18.74,$0.86,21.79
2011-06-30,22.71,$0.81,28.04
2011-03-31,20.15,$0.81,24.88
2010-12-31,22.84,$0.83,27.52
2010-09-30,16.41,$0.93,17.65
2010-06-30,14.95,$1.00,14.95
2010-03-31,24.05,$1.00,24.05
2009-12-31,26.09,$0.92,28.36
2009-09-30,27.41,$0.56,48.95
2009-06-30,35.65,$0.25,142.6
