IQVIA Holdings PE Ratio Historical Data,IQVIA Holdings PE Ratio Historical Data,IQVIA Holdings PE Ratio Historical Data,IQVIA Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,251.55,,32.67
2024-06-30,211.44,$7.70,27.46
2024-03-31,252.89,$7.32,34.55
2023-12-31,231.38,$7.29,31.74
2023-09-30,196.75,$5.95,33.07
2023-06-30,224.77,$5.81,38.69
2023-03-31,198.89,$5.56,35.77
2022-12-31,204.89,$5.66,36.2
2022-09-30,181.14,$5.80,31.23
2022-06-30,216.99,$5.21,41.65
2021-12-31,282.14,$4.96,56.88
2021-09-30,239.54,$3.94,60.8
2021-06-30,242.32,$4.28,56.62
2021-03-31,193.14,$3.90,49.52
2020-12-31,179.17,$2.69,66.61
2022-03-31,231.21,$2.50,92.48
2020-09-30,157.63,$0.91,173.22
2020-06-30,141.88,$0.68,208.65
2020-03-31,107.86,$1.10,98.05
2019-12-31,154.51,$0.97,159.29
2019-09-30,149.38,$1.22,122.44
2019-06-30,160.9,$1.22,131.89
2019-03-31,143.85,$1.21,118.88
2018-12-31,116.17,$1.24,93.69
2018-09-30,129.74,$5.92,21.92
2018-06-30,99.82,$6.01,16.61
2018-03-31,98.11,$6.06,16.19
2017-12-31,97.9,$6.05,16.18
2017-09-30,95.07,$0.29,327.83
2017-06-30,89.5,$0.73,122.6
2017-03-31,80.53,$1.10,73.21
2016-12-31,76.05,$1.67,45.54
2016-09-30,81.06,$3.26,24.87
2016-06-30,65.32,$3.33,19.62
2016-03-31,65.1,$3.29,19.79
2015-12-31,68.66,$3.10,22.15
2015-09-30,69.57,$2.96,23.5
2015-06-30,72.61,$2.71,26.79
2014-12-31,58.87,$2.72,21.64
2014-09-30,55.78,$2.58,21.62
2014-06-30,53.29,$2.55,20.9
2014-03-31,50.77,$2.41,21.07
2013-12-31,46.34,$2.03,22.83
