Verona Pharma American Depositary Share PE Ratio Historical Data,Verona Pharma American Depositary Share PE Ratio Historical Data,Verona Pharma American Depositary Share PE Ratio Historical Data,Verona Pharma American Depositary Share PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,34.66,,0.0
2024-06-30,14.46,$-1.54,0.0
2024-03-31,16.09,$-0.77,0.0
2023-12-31,19.88,$-0.69,0.0
2023-09-30,16.3,$-0.69,0.0
2023-06-30,21.14,$-0.75,0.0
2023-03-31,20.08,$-0.96,0.0
2022-12-31,26.13,$-1.12,0.0
2022-09-30,10.22,$-1.36,0.0
2022-06-30,4.19,$-0.95,0.0
2022-03-31,4.99,$-1.19,0.0
2021-12-31,6.72,$-1.34,0.0
2021-09-30,5.48,$-1.47,0.0
2021-06-30,6.54,$-2.10,0.0
2021-03-31,8.36,$-2.22,0.0
2020-12-31,7.0,$-1.95,0.0
2020-09-30,6.24,$-1.65,0.0
2020-06-30,4.68,$-1.13,0.0
2018-12-31,9.65,$-2.06,0.0
2018-09-30,12.51,$-2.69,0.0
2018-06-30,13.66,$-2.83,0.0
2018-03-31,20.0,$-3.61,0.0
2017-09-30,15.35,$-2.95,0.0
2017-06-30,11.66,$-2.92,0.0
2019-12-31,5.75,$-3.08,0.0
2019-09-30,4.57,$-3.30,0.0
