Pennant PE Ratio Historical Data,Pennant PE Ratio Historical Data,Pennant PE Ratio Historical Data,Pennant PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,35.17,,55.83
2024-06-30,23.19,$0.63,36.81
2024-03-31,19.63,$0.54,36.35
2023-12-31,13.92,$0.44,31.64
2023-09-30,11.13,$0.42,26.5
2023-06-30,12.28,$0.43,28.56
2023-03-31,14.28,$0.25,57.12
2022-12-31,10.98,$0.22,49.91
2022-09-30,10.41,$0.02,520.5
2022-06-30,12.81,$-0.10,0.0
2022-03-31,18.63,$0.08,232.88
2021-12-31,23.08,$0.08,288.5
2021-09-30,28.09,$0.29,96.86
2021-06-30,40.9,$0.40,102.25
2021-03-31,45.8,$0.46,99.57
2020-12-31,58.06,$0.53,109.55
2020-09-30,38.56,$0.26,148.31
