Customers Bancorp PE Ratio Historical Data,Customers Bancorp PE Ratio Historical Data,Customers Bancorp PE Ratio Historical Data,Customers Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,47.96,,6.45
2024-06-30,47.98,$7.43,6.46
2024-03-31,53.06,$7.16,7.41
2023-12-31,57.62,$7.31,7.88
2023-09-30,34.45,$6.29,5.48
2023-06-30,30.26,$5.56,5.44
2023-03-31,18.52,$5.85,3.17
2022-12-31,28.34,$6.48,4.37
2022-09-30,29.48,$8.58,3.44
2022-06-30,33.9,$9.98,3.4
2022-03-31,52.14,$10.02,5.2
2021-12-31,65.37,$9.49,6.89
2021-09-30,43.02,$8.10,5.31
2021-06-30,38.99,$5.46,7.14
2020-12-31,18.18,$3.96,4.59
2020-09-30,10.13,$3.06,3.31
2020-06-30,10.87,$2.59,4.2
2020-03-31,9.88,$2.72,3.63
2019-12-31,21.52,$2.68,8.03
2021-03-31,31.82,$2.31,13.77
2019-09-30,18.75,$1.74,10.78
2019-06-30,18.98,$1.07,17.74
2019-03-31,16.55,$1.53,10.82
2018-12-31,16.45,$1.70,9.68
2018-09-30,21.27,$1.39,15.3
2018-03-31,26.35,$1.94,13.58
2017-12-31,23.5,$1.97,11.93
2017-09-30,29.49,$1.93,15.28
2017-06-30,25.57,$2.42,10.56
2017-03-31,28.5,$2.44,11.68
2016-12-31,32.38,$2.37,13.66
2018-06-30,25.66,$2.43,10.56
2016-09-30,22.75,$2.39,9.52
2016-06-30,22.72,$2.25,10.1
2016-03-31,21.36,$2.04,10.47
2015-12-31,24.61,$1.96,12.55
2015-09-30,23.23,$1.85,12.56
2015-06-30,24.31,$1.77,13.73
2015-03-31,22.02,$1.75,12.58
2014-12-31,17.59,$1.55,11.34
2014-09-30,16.24,$1.41,11.53
2014-06-30,18.09,$1.29,14.04
2014-03-31,17.15,$1.26,13.57
2013-12-31,16.81,$1.32,12.75
2013-09-30,13.23,$1.35,9.77
2013-06-30,13.36,$1.52,8.8
2013-03-31,13.77,$1.68,8.19
2012-12-31,11.92,$1.58,7.53
