Schrodinger PE Ratio Historical Data,Schrodinger PE Ratio Historical Data,Schrodinger PE Ratio Historical Data,Schrodinger PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,17.59,,0.0
2024-06-30,19.34,$-2.68,0.0
2024-03-31,27.0,$-1.88,0.0
2023-12-31,35.8,$0.63,56.83
2023-09-30,28.27,$0.56,50.48
2023-06-30,49.92,$0.86,58.05
2023-03-31,26.33,$0.13,202.54
2022-12-31,18.69,$-2.10,0.0
2022-09-30,24.98,$-2.14,0.0
2022-06-30,26.41,$-2.07,0.0
2022-03-31,34.12,$-1.89,0.0
2021-12-31,34.83,$-1.41,0.0
2021-09-30,54.68,$-1.16,0.0
2021-06-30,75.61,$-0.62,0.0
2021-03-31,76.29,$-0.18,0.0
2020-12-31,79.18,$-0.52,0.0
