Agios Pharmaceuticals PE Ratio Historical Data,Agios Pharmaceuticals PE Ratio Historical Data,Agios Pharmaceuticals PE Ratio Historical Data,Agios Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,44.14,,0.0
2024-06-30,43.12,$-6.50,0.0
2024-03-31,29.24,$-6.32,0.0
2023-12-31,22.27,$-6.34,0.0
2023-09-30,24.75,$-3.95,0.0
2023-06-30,28.32,$-3.80,0.0
2023-03-31,22.97,$-3.97,0.0
2022-12-31,28.08,$-4.24,0.0
2022-09-30,28.28,$-6.65,0.0
2022-06-30,22.17,$-6.72,0.0
2022-03-31,29.11,$-6.45,0.0
2021-12-31,32.87,$22.24,1.48
2021-09-30,46.15,$22.57,2.04
2021-06-30,55.11,$22.70,2.43
2021-03-31,51.64,$22.80,2.26
2020-12-31,43.33,$-4.74,0.0
2020-09-30,35.0,$-4.93,0.0
2020-06-30,53.48,$-5.31,0.0
2020-03-31,35.48,$-5.87,0.0
2019-12-31,47.75,$-6.87,0.0
2019-09-30,32.4,$-6.85,0.0
2019-06-30,49.88,$-6.67,0.0
2019-03-31,67.44,$-5.99,0.0
2018-12-31,46.11,$-6.03,0.0
2018-09-30,77.12,$-6.26,0.0
2018-06-30,84.23,$-6.22,0.0
2018-03-31,81.78,$-6.81,0.0
2017-12-31,57.17,$-6.74,0.0
2017-09-30,66.75,$-6.27,0.0
2017-06-30,51.45,$-6.15,0.0
2017-03-31,58.4,$-4.98,0.0
2016-12-31,41.73,$-4.50,0.0
2016-06-30,41.9,$-4.23,0.0
2016-03-31,40.6,$-3.61,0.0
2015-12-31,64.92,$-3.13,0.0
2015-09-30,70.43,$-2.81,0.0
2015-06-30,111.14,$-1.64,0.0
2015-03-31,94.3,$-1.33,0.0
2014-12-31,112.04,$-1.59,0.0
2014-09-30,61.35,$-1.23,0.0
2014-06-30,45.82,$-1.80,0.0
2014-03-31,39.15,$-2.89,0.0
