New Gold PE Ratio Historical Data,New Gold PE Ratio Historical Data,New Gold PE Ratio Historical Data,New Gold PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,2.88,,0.0
2024-06-30,1.95,$-0.03,0.0
2024-03-31,1.7,$-0.10,0.0
2023-12-31,1.46,$-0.09,0.0
2023-09-30,0.91,$-0.07,0.0
2023-06-30,1.08,$-0.08,0.0
2023-03-31,1.1,$-0.14,0.0
2022-12-31,0.98,$-0.10,0.0
2022-09-30,0.88,$0.14,6.29
2022-06-30,1.07,$0.13,8.23
2022-03-31,1.8,$0.17,10.59
2021-12-31,1.5,$0.20,7.5
2021-09-30,1.06,$-0.05,0.0
2021-06-30,1.81,$-0.01,0.0
2021-03-31,1.54,$-0.06,0.0
2020-12-31,2.19,$-0.12,0.0
2020-09-30,1.7,$-0.09,0.0
2020-06-30,1.35,$-0.15,0.0
2020-03-31,0.51,$-0.14,0.0
2019-12-31,0.88,$-0.12,0.0
2019-09-30,1.01,$-1.38,0.0
2019-06-30,0.96,$-1.63,0.0
2019-03-31,0.86,$-2.09,0.0
2018-12-31,0.76,$-2.12,0.0
2018-09-30,0.79,$-1.20,0.0
2018-06-30,2.08,$-0.86,0.0
2018-03-31,2.58,$-0.30,0.0
2017-12-31,3.29,$-0.18,0.0
2017-09-30,3.71,$0.12,30.92
2017-06-30,3.18,$0.08,39.75
2017-03-31,2.98,$0.02,149.0
2016-12-31,3.5,0,0.0
2016-09-30,4.35,$0.02,217.5
2016-06-30,4.38,$-0.30,0.0
2016-03-31,3.73,$-0.26,0.0
2015-12-31,2.32,$-0.40,0.0
2015-09-30,2.27,$-1.24,0.0
2015-06-30,2.69,$-1.05,0.0
2015-03-31,3.39,$-1.04,0.0
2014-12-31,4.3,$-0.95,0.0
2014-09-30,5.05,$-0.60,0.0
2014-06-30,6.37,$-0.46,0.0
2014-03-31,4.88,$-0.46,0.0
2013-12-31,5.24,$-0.38,0.0
2013-09-30,5.98,$0.39,15.33
2013-06-30,6.42,$0.40,16.05
2013-03-31,9.1,$0.42,21.67
2012-12-31,11.03,$0.41,26.9
2012-09-30,12.22,$0.22,55.55
2012-06-30,9.5,$0.28,33.93
2012-03-31,9.88,$0.39,25.33
2011-12-31,10.08,$0.38,26.53
2011-09-30,10.29,$0.49,21.0
2011-06-30,10.29,$0.47,21.89
2011-03-31,11.71,$0.46,25.46
2010-12-31,9.76,$0.44,22.18
2010-09-30,6.71,$0.24,27.96
2010-06-30,6.19,$0.18,34.39
2010-03-31,4.36,$-0.76,0.0
2009-12-31,3.64,$-0.74,0.0
