Linde PE Ratio Historical Data,Linde PE Ratio Historical Data,Linde PE Ratio Historical Data,Linde PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,478.25,,36.4
2024-06-30,438.81,$13.14,33.39
2024-03-31,464.32,$12.89,36.02
2023-12-31,410.71,$12.60,32.6
2023-09-30,372.35,$12.11,30.75
2023-06-30,381.08,$11.46,33.25
2023-03-31,355.44,$9.01,39.45
2022-12-31,326.18,$8.25,39.54
2022-09-30,269.59,$7.56,35.66
2022-06-30,286.33,$6.90,41.5
2022-03-31,316.98,$7.76,40.85
2021-12-31,342.36,$7.32,46.77
2021-09-30,288.99,$6.79,42.56
2021-06-30,283.82,$6.23,45.56
2021-03-31,274.06,$5.50,49.83
2020-12-31,256.68,$4.71,54.5
2020-09-30,231.07,$4.21,54.89
2020-06-30,205.06,$4.24,48.36
2020-03-31,166.48,$4.33,38.45
2019-12-31,204.87,$4.20,48.78
2019-09-30,185.6,$3.25,57.11
2019-06-30,191.5,$1.90,100.79
2019-03-31,166.97,$2.59,64.47
2018-12-31,147.33,$3.24,45.47
2018-09-30,150.96,$3.35,45.06
2018-06-30,148.54,$4.80,30.95
2018-03-31,134.85,$4.56,29.57
2017-12-31,143.77,$4.32,33.28
2017-09-30,129.89,$5.62,23.11
2017-06-30,122.47,$5.35,22.89
2017-03-31,109.58,$5.33,20.56
2016-12-31,107.56,$5.45,19.74
2016-09-30,110.9,$5.44,20.39
2016-06-30,102.53,$5.32,19.27
2015-12-31,92.78,$5.36,17.31
2015-09-30,92.29,$4.92,18.76
2015-06-30,107.57,$4.76,22.6
2015-03-31,108.65,$5.32,20.42
2014-12-31,116.58,$5.47,21.31
2016-03-31,103.7,$5.95,17.43
2014-09-30,116.08,$6.30,18.43
2014-06-30,119.53,$6.17,19.37
2014-03-31,117.28,$6.08,19.29
2013-12-31,116.43,$5.87,19.84
2013-09-30,107.12,$5.66,18.93
2013-06-30,102.1,$5.60,18.23
2013-03-31,98.38,$5.53,17.79
2012-12-31,96.03,$5.61,17.12
2012-09-30,90.67,$5.61,16.16
2012-06-30,94.41,$5.58,16.92
2012-03-31,99.0,$5.54,17.87
2011-12-31,91.85,$5.45,16.85
2011-09-30,79.93,$4.50,17.76
2011-06-30,92.2,$4.31,21.39
2011-03-31,86.0,$4.12,20.87
2010-12-31,80.4,$3.84,20.94
2010-09-30,75.65,$4.50,16.81
2010-06-30,63.36,$4.33,14.63
2010-03-31,68.8,$4.10,16.78
2009-12-31,66.18,$4.02,16.46
