Boston Scientific PE Ratio Historical Data,Boston Scientific PE Ratio Historical Data,Boston Scientific PE Ratio Historical Data,Boston Scientific PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,81.79,,66.5
2024-06-30,77.01,$1.23,62.61
2024-03-31,68.49,$1.19,57.55
2023-12-31,57.81,$1.07,54.03
2023-09-30,52.8,$0.82,64.39
2023-06-30,54.09,$0.60,90.15
2023-03-31,50.03,$0.59,84.8
2022-12-31,46.27,$0.45,102.82
2022-09-30,38.73,$0.42,92.21
2022-06-30,37.27,$0.58,64.26
2022-03-31,44.29,$0.53,83.57
2021-12-31,42.48,$0.69,61.57
2021-09-30,43.39,$0.73,59.44
2021-06-30,42.76,$0.33,129.58
2021-03-31,38.65,$0.10,386.5
2020-12-31,35.95,$-0.12,0.0
2020-09-30,38.21,$2.61,14.64
2020-06-30,35.11,$2.82,12.45
2020-03-31,32.63,$3.04,10.73
2019-12-31,45.22,$3.33,13.58
2019-09-30,40.69,$0.77,52.84
2019-06-30,42.98,$0.99,43.41
2019-03-31,38.38,$1.28,29.98
2018-12-31,35.34,$0.53,66.68
2018-09-30,38.5,$0.46,83.7
2018-06-30,32.7,$0.26,125.77
2017-12-31,24.79,$0.07,354.14
2017-09-30,29.17,$0.61,47.82
2017-06-30,27.72,$0.62,44.71
2017-03-31,24.87,$0.68,36.57
2016-12-31,21.63,$0.32,67.59
2018-03-31,27.32,$0.38,71.89
2016-09-30,23.8,$0.06,396.67
2016-06-30,23.37,$-0.26,0.0
2016-03-31,18.81,$-0.03,0.0
2015-12-31,18.44,$-0.18,0.0
2015-09-30,16.41,$-0.01,0.0
2015-06-30,17.7,$0.17,104.12
2015-03-31,17.75,$0.09,197.22
2014-12-31,13.25,$0.19,69.74
2014-09-30,11.81,$0.21,56.24
2014-06-30,12.77,$0.18,70.94
2014-03-31,13.52,$0.28,48.29
2013-12-31,12.02,$-0.08,0.0
2013-09-30,11.74,$-0.12,0.0
2013-06-30,9.27,$-0.64,0.0
2013-03-31,7.81,$-3.13,0.0
2012-12-31,5.73,$-2.79,0.0
2012-09-30,5.74,$-2.76,0.0
2012-06-30,5.67,$-2.15,0.0
2012-03-31,5.98,$0.34,17.59
2011-12-31,5.34,$0.27,19.78
2011-09-30,5.91,$0.35,16.89
2011-06-30,6.91,$0.38,18.18
2011-03-31,7.19,$0.34,21.15
2010-12-31,7.57,$-0.72,0.0
2010-09-30,6.13,$-1.58,0.0
2010-06-30,5.8,$-1.57,0.0
2010-03-31,7.22,$-1.53,0.0
2009-12-31,9.0,$-0.49,0.0
