Archer Daniels Midland PE Ratio Historical Data,Archer Daniels Midland PE Ratio Historical Data,Archer Daniels Midland PE Ratio Historical Data,Archer Daniels Midland PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,60.99,,12.25
2024-06-30,59.94,$4.98,12.04
2024-03-31,61.77,$5.70,10.84
2023-12-31,70.36,$6.40,10.99
2023-09-30,73.03,$7.18,10.17
2023-06-30,72.77,$7.49,9.72
2023-03-31,76.25,$7.97,9.57
2022-12-31,88.39,$7.71,11.46
2022-09-30,76.26,$7.25,10.52
2022-06-30,73.22,$6.35,11.53
2022-03-31,84.78,$5.43,15.61
2021-12-31,63.16,$4.79,13.19
2021-09-30,55.76,$4.63,12.04
2021-06-30,55.97,$4.10,13.65
2021-03-31,52.36,$3.68,14.23
2020-12-31,45.99,$3.15,14.6
2020-09-30,42.11,$2.83,14.88
2020-06-30,35.85,$3.15,11.38
2020-03-31,31.28,$2.73,11.46
2019-12-31,40.89,$2.45,16.69
2019-09-30,35.94,$2.11,17.03
2019-06-30,35.37,$2.33,15.18
2019-03-31,37.08,$2.91,12.74
2018-12-31,34.93,$3.20,10.91
2018-09-30,42.54,$4.03,10.56
2018-06-30,38.52,$3.43,11.23
2018-03-31,36.18,$2.91,12.43
2017-12-31,33.18,$2.80,11.85
2017-09-30,34.91,$2.14,16.31
2017-06-30,33.72,$2.38,14.17
2017-03-31,37.24,$2.38,15.65
2016-12-31,36.65,$2.18,16.81
2016-09-30,33.62,$2.64,12.74
2016-06-30,33.97,$2.47,13.75
2016-03-31,28.53,$2.61,10.93
2015-12-31,28.55,$2.99,9.55
2015-09-30,32.03,$2.88,11.12
2015-06-30,37.04,$3.61,10.26
2015-03-31,36.21,$3.80,9.53
2014-12-31,39.5,$3.43,11.51
2014-09-30,38.63,$2.91,13.28
2014-06-30,33.19,$2.49,13.33
2014-03-31,32.47,$2.02,16.08
2013-12-31,32.29,$2.03,15.91
2013-09-30,27.28,$2.24,12.18
2013-06-30,24.98,$1.80,13.88
2013-03-31,24.71,$1.89,13.07
2012-12-31,19.95,$2.08,9.59
2012-09-30,19.66,$1.43,13.75
2012-06-30,21.21,$1.83,11.59
2012-03-31,22.62,$2.26,10.01
2011-12-31,20.32,$2.80,7.26
2011-09-30,17.52,$3.22,5.44
2011-03-31,25.16,$2.54,9.91
2010-12-31,20.93,$2.33,8.98
2010-09-30,22.1,$2.07,10.67
2010-06-30,17.79,$2.30,7.73
2010-03-31,19.8,$2.31,8.57
2009-12-31,21.34,$1.66,12.86
2009-09-30,19.83,$0.78,25.42
