Manchester United PE Ratio Historical Data,Manchester United PE Ratio Historical Data,Manchester United PE Ratio Historical Data,Manchester United PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,16.46,,0.0
2024-06-30,16.14,$-0.87,0.0
2024-03-31,13.96,$-0.62,0.0
2023-12-31,20.38,$-0.11,0.0
2023-09-30,19.79,$-0.21,0.0
2023-06-30,24.38,$-0.20,0.0
2023-03-31,22.15,$-0.73,0.0
2022-12-31,23.33,$-0.92,0.0
2022-09-30,13.27,$-0.98,0.0
2022-06-30,11.12,$-0.92,0.0
2022-03-31,14.36,$-1.29,0.0
2021-12-31,14.14,$-1.21,0.0
2021-09-30,19.12,$-0.68,0.0
2021-06-30,14.9,$-0.79,0.0
2021-03-31,15.44,$-0.15,0.0
2020-12-31,16.42,$-0.18,0.0
2020-09-30,14.18,$-0.43,0.0
2020-06-30,15.44,$-0.18,0.0
2020-03-31,14.6,$-0.07,0.0
2019-12-31,19.33,$0.17,113.73
2019-09-30,15.86,$0.11,144.2
2019-06-30,17.45,$0.15,116.36
2019-03-31,18.47,$0.19,97.21
2018-12-31,18.24,$0.13,140.3
2018-09-30,21.62,$-0.31,0.0
2018-06-30,19.8,$-0.30,0.0
2018-03-31,18.36,$0.02,918.17
2017-12-31,18.94,$-0.01,0.0
2017-09-30,17.14,$0.35,48.97
2017-06-30,15.47,$0.30,51.58
2017-03-31,16.0,$0.10,160.05
2016-12-31,13.5,$0.25,53.98
2016-09-30,15.89,$0.29,54.79
2016-06-30,15.0,$0.33,45.44
2016-03-31,13.56,$0.27,50.21
2015-12-31,16.67,$0.12,138.93
2015-09-30,16.03,$-0.05,0.0
2015-06-30,16.63,$-0.01,0.0
2015-03-31,14.82,0,0.0
2014-12-31,14.81,$0.14,105.78
2014-09-30,15.35,$0.33,46.51
2014-06-30,16.25,$0.24,67.72
2014-03-31,16.06,$1.34,11.98
2013-12-31,14.46,$1.26,11.48
2013-09-30,16.18,$1.22,13.26
2013-06-30,14.83,$1.43,10.37
