Merck PE Ratio Historical Data,Merck PE Ratio Historical Data,Merck PE Ratio Historical Data,Merck PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,118.45,,21.98
2024-06-30,123.8,$5.39,22.97
2024-03-31,131.16,$0.90,145.73
2023-12-31,107.68,$0.14,769.13
2023-09-30,100.95,$1.80,56.08
2023-06-30,112.39,$1.22,92.12
2023-03-31,102.93,$5.12,20.1
2022-12-31,106.62,$5.71,18.67
2022-09-30,82.22,$6.01,13.68
2022-06-30,86.35,$6.53,13.22
2022-03-31,77.09,$5.59,13.79
2021-12-31,71.37,$5.14,13.89
2021-09-30,69.3,$2.83,24.49
2021-06-30,71.11,$2.19,32.47
2021-03-31,69.89,$2.76,25.32
2020-12-31,73.51,$2.77,26.54
2020-09-30,73.95,$4.52,16.36
2020-06-30,68.44,$4.10,16.69
2020-03-31,67.56,$3.95,17.1
2019-12-31,79.23,$3.38,23.44
2019-09-30,72.83,$3.19,22.83
2019-06-30,72.07,$3.08,23.4
2018-12-31,64.8,$2.32,27.93
2018-09-30,59.73,$1.31,45.6
2018-06-30,50.76,$1.70,29.86
2018-03-31,45.2,$1.05,43.05
2017-12-31,46.29,$1.49,31.07
2019-03-31,71.01,$2.37,29.96
2017-09-30,52.23,$1.67,31.27
2017-06-30,51.91,$2.47,21.01
2017-03-31,51.08,$2.19,23.32
2016-12-31,46.98,$2.03,23.14
2016-09-30,49.43,$1.96,25.22
2016-06-30,45.29,$1.82,24.89
2016-03-31,41.26,$1.63,25.31
2015-12-31,40.84,$1.56,26.18
2015-09-30,37.85,$3.75,10.09
2015-06-30,43.26,$3.42,12.65
2015-03-31,43.34,$3.86,11.23
2014-12-31,42.48,$4.10,10.36
2014-09-30,44.01,$1.82,24.18
2014-06-30,42.64,$1.89,22.56
2014-03-31,41.53,$1.51,27.5
2013-12-31,36.32,$1.46,24.88
2013-09-30,34.24,$1.66,20.63
2013-06-30,33.11,$1.84,17.99
2013-03-31,31.23,$2.12,14.73
2012-12-31,28.65,$2.16,13.26
2012-09-30,31.25,$2.19,14.27
2012-06-30,28.66,$2.18,13.15
2012-03-31,26.08,$2.25,11.59
2011-12-31,25.32,$2.03,12.47
2011-09-30,21.7,$1.37,15.84
2011-06-30,23.15,$0.93,24.89
2011-03-31,21.42,$0.52,41.19
2010-12-31,23.12,$0.28,82.56
2010-09-30,23.37,$2.81,8.32
2010-06-30,21.97,$4.31,5.1
2010-03-31,23.21,$4.81,4.83
2009-12-31,22.47,$5.38,4.18
