Ollie's Bargain Outlet Holdings PE Ratio Historical Data,Ollie's Bargain Outlet Holdings PE Ratio Historical Data,Ollie's Bargain Outlet Holdings PE Ratio Historical Data,Ollie's Bargain Outlet Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,94.38,,28.77
2024-07-31,97.64,$3.28,29.77
2024-04-30,73.14,$3.17,23.07
2024-01-31,71.93,$2.92,24.63
2023-10-31,77.24,$2.54,30.41
2023-07-31,72.88,$2.40,30.37
2023-04-30,65.25,$1.94,33.63
2023-01-31,54.76,$2.15,25.47
2022-10-31,56.0,$1.66,33.73
2022-07-31,58.95,$1.81,32.57
2022-01-31,47.94,$2.43,19.73
2021-10-31,67.66,$2.70,25.06
2021-07-31,93.1,$2.54,36.65
2021-04-30,92.27,$2.70,34.17
2021-01-31,94.73,$3.36,28.19
2022-04-30,48.05,$2.89,16.63
2020-10-31,87.09,$3.46,25.17
2020-07-31,105.1,$3.19,32.95
2020-04-30,67.91,$2.07,32.81
2020-01-31,53.04,$2.15,24.67
2019-10-31,63.88,$2.14,29.85
2019-07-31,84.69,$2.11,40.14
2019-04-30,95.64,$2.18,43.87
2019-01-31,78.17,$2.05,38.13
2018-10-31,92.9,$2.36,39.36
2018-07-31,69.5,$2.27,30.62
2018-04-30,62.2,$2.12,29.34
2018-01-31,55.55,$1.95,28.49
2017-10-31,44.65,$1.27,35.16
2017-07-31,44.7,$1.15,38.87
2017-04-30,38.3,$1.06,36.13
2017-01-31,30.55,$0.96,31.82
2016-10-31,27.35,$0.83,32.95
2016-07-31,26.14,$0.77,33.95
2016-04-30,26.45,$0.68,38.9
