Peoples Bancorp PE Ratio Historical Data,Peoples Bancorp PE Ratio Historical Data,Peoples Bancorp PE Ratio Historical Data,Peoples Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,32.22,,9.15
2024-06-30,29.6,$3.52,8.41
2024-03-31,28.83,$3.34,8.63
2023-12-31,32.43,$3.46,9.37
2023-09-30,24.05,$3.45,6.97
2023-06-30,24.81,$3.47,7.15
2023-03-31,23.7,$3.71,6.39
2022-12-31,25.68,$3.59,7.15
2022-09-30,25.96,$3.63,7.15
2022-06-30,23.57,$2.43,9.7
2022-03-31,27.37,$2.06,13.29
2021-12-31,27.5,$2.01,13.68
2021-09-30,27.03,$2.07,13.06
2021-06-30,25.03,$2.86,8.75
2021-03-31,27.73,$2.58,10.75
2020-12-31,22.39,$1.75,12.79
2020-09-30,15.54,$1.42,10.94
2020-06-30,17.03,$1.63,10.45
2020-03-31,17.48,$1.86,9.4
2019-12-31,27.06,$2.63,10.29
2019-09-30,24.58,$2.62,9.38
2019-06-30,24.66,$2.55,9.67
2019-03-31,23.68,$2.73,8.67
2018-12-31,22.8,$2.49,9.16
2018-09-30,26.3,$2.38,11.05
2018-03-31,26.21,$2.26,11.6
2017-12-31,23.94,$2.10,11.4
2017-09-30,24.49,$2.02,12.13
2017-06-30,23.27,$1.83,12.72
2017-03-31,22.79,$1.73,13.17
2016-12-31,23.22,$1.69,13.74
2018-06-30,28.15,$1.72,16.36
2016-09-30,17.47,$1.45,12.05
2016-06-30,15.37,$1.24,12.39
2016-03-31,13.68,$1.07,12.78
2015-12-31,13.08,$0.59,22.16
2015-09-30,14.21,$0.73,19.47
2015-06-30,15.97,$0.84,19.01
2015-03-31,16.07,$0.89,18.06
2014-12-31,17.51,$1.37,12.78
2014-09-30,15.95,$1.56,10.22
2014-06-30,17.65,$1.46,12.09
2014-03-31,16.4,$1.60,10.25
2013-12-31,14.83,$1.63,9.1
2013-09-30,13.67,$1.52,8.99
2013-06-30,13.72,$1.74,7.89
2013-03-31,14.47,$1.75,8.27
2012-12-31,13.13,$1.91,6.88
2012-09-30,14.63,$1.88,7.78
2012-06-30,13.98,$1.78,7.85
2012-03-31,11.09,$1.57,7.06
2011-12-31,9.3,$1.07,8.69
2011-09-30,6.86,$0.75,9.14
2011-06-30,6.97,$0.39,17.86
2011-03-31,7.43,$0.40,18.58
2010-12-31,9.59,$0.35,27.41
2010-09-30,7.54,$0.41,18.38
2010-06-30,8.7,$-0.02,0.0
2010-03-31,9.89,$-0.06,0.0
2009-12-31,5.77,$0.23,25.1
