B2Gold Corp PE Ratio Historical Data,B2Gold Corp PE Ratio Historical Data,B2Gold Corp PE Ratio Historical Data,B2Gold Corp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,3.33,,0.0
2024-06-30,2.66,$-0.11,0.0
2024-03-31,2.53,$-0.03,0.0
2023-12-31,3.07,$0.02,153.39
2023-09-30,2.77,$0.26,10.67
2023-06-30,3.38,$0.27,12.53
2023-03-31,3.69,$0.25,14.77
2022-12-31,3.31,$0.25,13.22
2022-09-30,2.95,$0.23,12.81
2022-06-30,3.06,$0.37,8.28
2022-03-31,4.1,$0.39,10.52
2021-12-31,3.48,$0.40,8.71
2021-09-30,3.0,$0.43,6.97
2021-06-30,3.65,$0.56,6.52
2021-03-31,3.7,$0.62,5.98
2020-12-31,4.77,$0.60,7.95
2020-09-30,5.52,$0.61,9.04
2020-06-30,4.79,$0.41,11.67
2020-03-31,2.56,$0.33,7.77
2019-12-31,3.35,$0.28,11.98
2019-09-30,2.7,$0.05,53.92
2019-06-30,2.53,$0.01,252.91
2019-03-31,2.35,$-0.01,0.0
2018-12-31,2.44,$0.01,0.0
2018-09-30,1.92,$0.10,19.2
2018-06-30,2.15,$0.09,23.93
2018-03-31,2.28,$0.09,25.32
2017-12-31,2.59,$0.04,64.69
2017-09-30,2.34,$0.01,233.71
2017-06-30,2.35,$0.05,46.91
2017-03-31,2.36,$0.02,118.11
2016-12-31,1.98,$0.04,49.46
2016-09-30,2.2,$-0.09,0.0
2016-06-30,2.1,$-0.15,0.0
2016-03-31,1.39,$-0.16,0.0
2015-12-31,0.85,$-0.56,0.0
2015-09-30,0.88,$-0.82,0.0
2015-06-30,1.28,$-0.82,0.0
2014-12-31,1.35,$-0.84,0.0
2014-09-30,1.69,$-0.43,0.0
2014-06-30,2.44,$-0.04,0.0
2014-03-31,2.25,$-0.02,0.0
2013-12-31,1.69,$0.07,24.09
2015-03-31,1.27,$0.05,25.37
2013-09-30,2.07,$0.08,25.88
2013-06-30,1.78,$0.12,14.82
2013-03-31,2.55,$0.10,25.52
2012-12-31,2.98,$0.14,21.27
2012-09-30,3.34,$0.11,30.35
