Lancaster Colony PE Ratio Historical Data,Lancaster Colony PE Ratio Historical Data,Lancaster Colony PE Ratio Historical Data,Lancaster Colony PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,178.42,,31.03
2024-06-30,188.01,$5.75,32.7
2024-03-31,205.58,$4.82,42.65
2023-12-31,164.02,$4.68,35.05
2023-09-30,161.81,$4.26,37.98
2023-06-30,196.13,$4.03,48.67
2023-03-31,197.03,$4.76,41.39
2022-12-31,190.76,$3.70,51.56
2022-09-30,144.69,$3.50,41.34
2022-06-30,123.41,$3.25,37.97
2022-03-31,141.98,$3.34,42.51
2021-12-31,156.84,$4.56,34.39
2021-09-30,159.03,$4.93,32.26
2021-06-30,181.51,$5.17,35.11
2021-03-31,163.86,$5.12,32.0
2020-12-31,170.98,$4.88,35.04
2020-09-30,165.66,$4.84,34.23
2020-06-30,143.03,$4.97,28.78
2020-03-31,132.92,$5.07,26.22
2019-12-31,146.44,$5.37,27.27
2019-09-30,126.26,$5.52,22.87
2019-06-30,134.73,$5.46,24.68
2019-03-31,141.44,$5.44,26.0
2018-12-31,158.97,$5.33,29.83
2018-09-30,133.63,$5.27,25.36
2018-06-30,123.49,$4.92,25.1
2018-03-31,109.35,$4.78,22.88
2017-12-31,114.18,$4.31,26.49
2017-09-30,105.67,$4.06,26.03
2017-06-30,107.36,$4.21,25.5
2017-03-31,112.32,$4.29,26.18
2016-12-31,122.74,$4.82,25.47
2016-09-30,114.21,$4.65,24.56
2016-06-30,109.93,$4.44,24.76
2016-03-31,94.87,$4.25,22.32
2015-12-31,98.59,$3.94,25.02
2015-09-30,79.36,$3.89,20.4
2015-06-30,73.62,$3.71,19.84
2015-03-31,76.72,$3.56,21.55
2014-12-31,75.1,$2.43,30.91
2014-09-30,68.06,$2.67,25.49
2014-06-30,75.57,$2.75,27.48
2014-03-31,78.58,$2.90,27.1
2013-12-31,69.35,$4.08,17.0
2013-09-30,61.28,$3.92,15.63
2013-06-30,60.71,$3.99,15.21
2013-03-31,59.64,$4.01,14.87
2012-12-31,53.31,$3.88,13.74
2012-09-30,52.5,$3.71,14.15
2012-06-30,50.79,$3.51,14.47
2012-03-31,47.15,$3.63,12.99
2011-12-31,48.92,$3.67,13.33
2011-09-30,42.82,$3.81,11.24
2011-06-30,42.45,$3.84,11.06
2011-03-31,42.06,$3.58,11.75
2010-12-31,39.47,$3.73,10.58
2010-09-30,32.58,$3.88,8.4
2010-06-30,36.36,$4.08,8.91
2010-03-31,39.95,$4.28,9.33
2009-12-31,33.49,$4.18,8.01
