Morningstar PE Ratio Historical Data,Morningstar PE Ratio Historical Data,Morningstar PE Ratio Historical Data,Morningstar PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,343.39,,60.14
2024-06-30,295.08,$5.71,51.68
2024-03-31,307.16,$4.95,62.05
2023-12-31,284.7,$3.28,86.8
2023-09-30,232.6,$1.65,140.97
2023-06-30,194.32,$0.53,366.64
2023-03-31,200.84,$0.39,514.98
2022-12-31,213.88,$1.63,131.22
2022-09-30,209.33,$2.85,73.45
2022-06-30,238.42,$4.19,56.9
2022-03-31,268.92,$4.25,63.27
2021-12-31,335.84,$4.46,75.3
2021-09-30,254.08,$4.90,51.85
2021-06-30,251.88,$5.53,45.55
2021-03-31,220.17,$5.89,37.38
2020-12-31,226.56,$5.17,43.82
2020-09-30,156.66,$4.07,38.49
2020-06-30,137.23,$3.45,39.78
2020-03-31,112.86,$3.31,34.1
2019-12-31,146.61,$3.53,41.53
2019-09-30,141.35,$3.88,36.43
2019-06-30,139.63,$4.06,34.39
2019-03-31,121.36,$4.05,29.97
2018-12-31,105.53,$4.26,24.77
2018-09-30,120.7,$4.18,28.88
2018-06-30,122.72,$3.65,33.62
2018-03-31,91.17,$3.75,24.31
2017-12-31,92.31,$3.19,28.94
2017-09-30,80.69,$3.91,20.64
2017-06-30,74.16,$3.82,19.41
2017-03-31,74.18,$3.48,21.32
2016-12-31,69.21,$3.73,18.55
2016-09-30,74.37,$2.95,25.21
2016-06-30,76.52,$3.01,25.42
2016-03-31,82.38,$3.00,27.46
2015-12-31,74.84,$3.00,24.95
2015-09-30,74.52,$2.86,26.06
2015-06-30,73.69,$2.77,26.6
2015-03-31,69.21,$1.83,37.82
2014-12-31,59.61,$1.74,34.26
2014-09-30,62.39,$1.71,36.48
2014-06-30,65.82,$1.72,38.27
2014-03-31,72.27,$2.60,27.79
2013-12-31,71.26,$2.71,26.29
2013-09-30,72.21,$2.59,27.88
2013-06-30,70.56,$2.47,28.57
2012-12-31,57.04,$2.21,25.81
2012-09-30,56.67,$2.07,27.38
2012-06-30,52.24,$2.14,24.41
2012-03-31,56.85,$2.00,28.43
2011-12-31,53.52,$2.12,25.24
2013-03-31,63.48,$2.01,31.58
2011-09-30,50.76,$1.92,26.44
2011-06-30,54.62,$1.91,28.6
2011-03-31,52.42,$1.75,29.96
2010-12-31,47.66,$1.71,27.87
2010-09-30,39.98,$1.46,27.38
2010-06-30,38.15,$1.50,25.43
2010-03-31,43.14,$1.55,27.83
2009-12-31,43.37,$1.66,26.12
