Associated Banc-Corp PE Ratio Historical Data,Associated Banc-Corp PE Ratio Historical Data,Associated Banc-Corp PE Ratio Historical Data,Associated Banc-Corp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,23.16,,19.79
2024-06-30,20.94,$1.17,17.9
2024-03-31,21.3,$0.99,21.52
2023-12-31,20.96,$1.13,18.55
2023-09-30,16.56,$2.45,6.76
2023-06-30,15.52,$2.54,6.11
2023-03-31,16.95,$2.54,6.68
2022-12-31,21.58,$2.35,9.18
2022-09-30,18.61,$2.14,8.69
2022-06-30,16.75,$2.08,8.05
2022-03-31,20.68,$2.08,9.94
2021-12-31,20.36,$2.19,9.3
2021-09-30,19.13,$2.10,9.11
2021-06-30,18.12,$1.80,10.06
2021-03-31,18.73,$2.18,8.59
2020-12-31,14.83,$1.87,7.93
2020-09-30,10.85,$1.90,5.71
2020-06-30,11.61,$2.13,5.45
2020-03-31,10.71,$1.68,6.38
2019-12-31,18.27,$1.91,9.56
2019-09-30,16.64,$1.99,8.36
2019-06-30,17.22,$1.98,8.7
2019-03-31,17.25,$1.99,8.67
2018-12-31,15.87,$1.89,8.4
2018-09-30,20.7,$1.69,12.25
2018-06-30,21.62,$1.62,13.34
2018-03-31,19.57,$1.48,13.22
2017-12-31,19.88,$1.43,13.9
2017-09-30,18.88,$1.46,12.93
2017-06-30,19.51,$1.39,14.04
2017-03-31,18.8,$1.34,14.03
2016-12-31,18.94,$1.26,15.03
2016-09-30,14.94,$1.19,12.56
2016-06-30,13.01,$1.16,11.21
2016-03-31,13.53,$1.16,11.66
2015-12-31,14.05,$1.19,11.81
2015-09-30,13.39,$1.23,10.89
2015-06-30,15.03,$1.23,12.22
2015-03-31,13.72,$1.20,11.43
2014-12-31,13.67,$1.17,11.68
2014-09-30,12.71,$1.14,11.15
2014-06-30,13.13,$1.10,11.93
2014-03-31,13.04,$1.10,11.86
2013-12-31,12.5,$1.10,11.36
2013-09-30,11.07,$1.08,10.25
2013-06-30,11.06,$1.07,10.33
2013-03-31,10.75,$1.03,10.43
2012-12-31,9.23,$1.00,9.23
2012-09-30,9.2,$0.97,9.49
2012-06-30,9.19,$0.91,10.1
2012-03-31,9.69,$0.82,11.81
2011-12-31,7.72,$0.67,11.52
2011-09-30,6.42,$0.48,13.38
2011-06-30,9.59,$0.32,29.97
2011-03-31,10.24,$0.11,93.09
2010-12-31,10.44,$-0.18,0.0
2010-09-30,9.08,$-1.63,0.0
2010-06-30,8.44,$-1.60,0.0
2010-03-31,9.46,$-1.73,0.0
2009-12-31,7.56,$-1.25,0.0
