LiveRamp Holdings PE Ratio Historical Data,LiveRamp Holdings PE Ratio Historical Data,LiveRamp Holdings PE Ratio Historical Data,LiveRamp Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,24.8,,275.56
2024-06-30,30.94,$0.09,343.78
2024-03-31,34.5,$0.18,191.67
2023-12-31,37.88,$-0.22,0.0
2023-09-30,28.84,$-0.89,0.0
2023-06-30,28.56,$-1.41,0.0
2023-03-31,21.93,$-1.79,0.0
2022-12-31,23.44,$-1.74,0.0
2022-09-30,18.16,$-1.51,0.0
2022-06-30,25.81,$-1.15,0.0
2022-03-31,37.39,$-0.50,0.0
2021-12-31,47.95,$-0.56,0.0
2021-09-30,47.23,$-0.51,0.0
2021-06-30,46.85,$-0.78,0.0
2021-03-31,51.88,$-1.36,0.0
2020-12-31,73.19,$-0.93,0.0
2020-09-30,51.77,$-1.31,0.0
2020-06-30,42.47,$-1.54,0.0
2020-03-31,32.92,$-1.82,0.0
2019-12-31,48.07,$-2.43,0.0
2019-09-30,42.96,$11.78,3.65
2019-06-30,48.48,$12.64,3.84
2019-03-31,54.57,$13.21,4.13
2018-12-31,38.63,$13.94,2.77
2018-09-30,49.41,$0.57,86.68
2018-06-30,29.95,$0.26,115.19
2018-03-31,22.71,$0.28,81.11
2017-12-31,27.56,$0.12,229.67
2017-09-30,24.64,$-0.15,0.0
2017-06-30,25.98,$-0.06,0.0
2017-03-31,28.47,$-0.06,0.0
2016-12-31,26.8,$0.02,1340.0
2016-06-30,21.99,$0.15,146.6
2016-03-31,21.44,$0.09,238.22
2015-12-31,20.92,$0.03,697.33
2015-09-30,19.76,$0.14,141.14
2015-06-30,17.58,$0.05,351.6
2015-03-31,18.49,$0.04,462.25
2016-09-30,26.65,$0.02,1332.5
2014-12-31,20.27,$-0.45,0.0
2014-09-30,16.55,$-0.31,0.0
2014-06-30,21.69,$-0.12,0.0
2014-03-31,34.4,$0.16,214.97
2013-12-31,36.98,$0.73,50.66
2013-06-30,22.68,$0.75,30.24
2013-03-31,20.4,$0.75,27.2
2012-12-31,17.46,$1.15,15.18
2012-09-30,18.27,$1.09,16.76
2012-06-30,15.11,$0.98,15.42
2012-03-31,14.68,$0.96,15.29
2013-09-30,28.39,$0.51,55.67
2011-12-31,12.21,$-0.45,0.0
2011-09-30,10.64,$-0.30,0.0
2011-06-30,13.11,$-0.33,0.0
2011-03-31,14.35,$-0.25,0.0
2010-12-31,17.15,$0.76,22.57
2010-06-30,14.69,$0.63,23.32
2010-03-31,17.94,$0.56,32.04
2009-12-31,13.43,$0.63,21.32
2009-09-30,9.46,$0.61,15.51
