"STARWOOD PROPERTY TRUST, INC PE Ratio Historical Data","STARWOOD PROPERTY TRUST, INC PE Ratio Historical Data","STARWOOD PROPERTY TRUST, INC PE Ratio Historical Data","STARWOOD PROPERTY TRUST, INC PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,20.28,,18.61
2024-06-30,18.5,$1.09,16.98
2024-03-31,19.37,$1.39,13.94
2023-12-31,19.57,$1.07,18.29
2023-09-30,17.62,$1.29,13.66
2023-06-30,17.23,$1.75,9.85
2023-03-31,15.33,$1.88,8.15
2022-12-31,15.45,$2.03,7.61
2022-09-30,14.97,$2.03,7.37
2022-06-30,16.73,$1.82,9.19
2021-12-31,18.65,$1.53,12.19
2021-09-30,18.37,$1.59,11.55
2021-06-30,19.32,$2.17,8.9
2021-03-31,17.94,$2.29,7.83
2020-12-31,13.73,$2.40,5.72
2022-03-31,18.92,$1.79,10.57
2020-09-30,10.47,$1.37,7.64
2020-06-30,10.06,$1.33,7.57
2020-03-31,6.68,$1.27,5.26
2019-12-31,15.53,$1.76,8.83
2019-09-30,14.85,$1.49,9.96
2019-06-30,13.66,$1.32,10.35
2019-03-31,13.15,$1.29,10.2
2018-12-31,11.36,$1.39,8.17
2018-09-30,12.11,$1.39,8.71
2018-06-30,11.95,$1.52,7.86
2017-12-31,11.24,$1.51,7.44
2017-09-30,11.18,$1.65,6.78
2017-06-30,11.28,$1.70,6.63
2017-03-31,11.14,$1.70,6.55
2016-12-31,10.6,$1.78,5.96
2018-03-31,11.28,$1.40,8.06
2016-09-30,10.64,$1.42,7.49
2016-06-30,9.59,$1.47,6.52
2016-03-31,8.56,$1.52,5.63
2015-12-31,9.06,$1.81,5.01
2015-09-30,8.84,$2.14,4.13
2015-03-31,10.0,$2.17,4.61
2014-12-31,9.38,$2.25,4.17
2014-09-30,8.68,$2.33,3.73
2014-06-30,9.2,$2.12,4.34
2014-03-31,8.95,$1.98,4.52
2013-12-31,8.3,$1.84,4.51
2013-09-30,7.09,$1.78,3.98
2013-06-30,7.2,$1.75,4.12
2013-03-31,7.96,$1.80,4.42
2012-12-31,6.5,$1.74,3.74
2015-06-30,9.08,$1.85,4.91
2012-09-30,6.56,$1.80,3.65
2012-06-30,5.92,$1.52,3.9
2012-03-31,5.75,$1.51,3.81
2011-12-31,4.98,$1.41,3.53
2011-09-30,4.53,$1.30,3.48
2011-06-30,5.3,$1.62,3.27
2011-03-31,5.67,$1.45,3.91
2010-12-31,5.38,$1.14,4.72
2010-09-30,4.81,$0.77,6.25
2010-06-30,4.05,$0.30,13.5
