Canada Goose Holdings PE Ratio Historical Data,Canada Goose Holdings PE Ratio Historical Data,Canada Goose Holdings PE Ratio Historical Data,Canada Goose Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,11.03,,30.64
2024-06-30,12.93,$0.36,35.92
2024-03-31,12.06,$0.37,32.59
2023-12-31,11.85,$0.31,38.23
2023-09-30,14.66,$0.37,39.62
2023-06-30,17.8,$0.36,49.44
2023-03-31,19.25,$0.48,40.1
2022-12-31,17.81,$0.43,41.42
2022-09-30,15.24,$0.61,24.98
2022-06-30,18.01,$0.65,27.71
2022-03-31,26.33,$0.69,38.16
2021-12-31,37.06,$0.78,47.51
2021-09-30,35.67,$0.40,89.18
2021-06-30,43.74,$0.41,106.68
2021-03-31,39.25,$0.50,78.5
2020-12-31,29.77,$0.49,60.76
2020-09-30,32.17,$0.56,57.45
2020-06-30,23.17,$0.91,25.46
2020-03-31,19.89,$1.04,19.13
2019-12-31,36.24,$1.09,33.25
2019-09-30,43.97,$0.98,44.87
2019-06-30,38.73,$0.90,43.03
2019-03-31,48.02,$0.97,49.51
2018-12-31,43.72,$0.97,45.07
2018-09-30,64.54,$0.71,90.9
2018-06-30,58.85,$0.63,93.41
2018-03-31,33.42,$0.68,49.15
2017-12-31,31.56,$0.44,71.73
