TriCo Bancshares PE Ratio Historical Data,TriCo Bancshares PE Ratio Historical Data,TriCo Bancshares PE Ratio Historical Data,TriCo Bancshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,45.7,,13.44
2024-06-30,39.27,$3.40,11.55
2024-03-31,36.17,$3.28,11.03
2023-12-31,41.87,$3.52,11.89
2023-09-30,30.97,$3.83,8.09
2023-06-30,31.8,$4.03,7.89
2023-03-31,39.53,$4.21,9.39
2022-12-31,48.15,$3.81,12.64
2022-09-30,41.92,$3.66,11.45
2022-06-30,42.58,$3.46,12.31
2022-03-31,37.13,$3.48,10.67
2021-12-31,39.61,$3.94,10.05
2021-09-30,39.78,$3.79,10.5
2021-06-30,38.79,$3.46,11.21
2021-03-31,42.92,$2.76,15.55
2020-12-31,31.81,$2.16,14.73
2020-09-30,21.94,$2.12,10.35
2020-06-30,27.05,$2.29,11.81
2020-03-31,26.28,$2.79,9.42
2019-12-31,35.67,$3.00,11.89
2019-09-30,31.56,$3.01,10.48
2019-06-30,32.66,$2.78,11.75
2019-03-31,33.79,$2.68,12.61
2018-12-31,28.92,$2.54,11.38
2018-09-30,32.88,$1.91,17.21
2018-06-30,31.74,$1.89,16.79
2018-03-31,31.41,$1.82,17.26
2017-12-31,31.81,$1.74,18.28
2017-09-30,34.09,$2.15,15.86
2017-06-30,29.26,$2.17,13.48
2017-03-31,29.44,$2.00,14.72
2016-12-31,28.21,$1.95,14.46
2016-09-30,21.99,$1.91,11.51
2016-06-30,22.55,$1.93,11.68
2016-03-31,20.58,$2.01,10.24
2015-12-31,22.17,$1.90,11.67
2015-09-30,19.75,$1.65,11.97
2015-06-30,19.23,$1.60,12.02
2015-03-31,19.19,$1.41,13.61
2014-12-31,19.55,$1.50,13.04
2014-09-30,17.83,$1.57,11.35
2014-06-30,18.15,$1.52,11.94
2014-03-31,20.24,$1.61,12.57
2013-12-31,22.05,$1.69,13.05
2013-09-30,17.63,$1.66,10.62
2013-06-30,16.43,$1.52,10.81
2013-03-31,13.1,$1.46,8.98
2012-12-31,12.77,$1.18,10.82
2012-09-30,12.53,$1.30,9.64
2012-06-30,11.61,$1.39,8.36
2012-03-31,13.06,$1.23,10.62
2011-12-31,10.6,$1.15,9.22
2011-09-30,9.09,$0.94,9.67
2011-06-30,10.75,$0.54,19.9
2011-03-31,11.93,$0.45,26.5
2010-12-31,11.74,$0.38,30.89
2010-09-30,11.1,$0.32,34.7
2010-06-30,12.15,$0.46,26.42
2010-03-31,14.21,$0.54,26.32
2009-12-31,11.81,$0.62,19.05
