Xenon Pharmaceuticals Quarterly Net Income (Millions of US $),Xenon Pharmaceuticals Quarterly Net Income (Millions of US $).1
2024-06-30,$-58
2024-03-31,$-48
2023-12-31,$-45
2023-09-30,$-48
2023-06-30,$-47
2023-03-31,$-42
2022-12-31,$-37
2022-09-30,$-37
2022-06-30,$-31
2022-03-31,$-19
2021-12-31,$-25
2021-09-30,$-15
2021-06-30,$-22
2021-03-31,$-15
2020-12-31,$-12
2020-09-30,$-9
2020-06-30,$-0
2020-03-31,$-7
2019-12-31,$-11
2019-09-30,$-9
2019-06-30,$-10
2019-03-31,$-11
2018-12-31,$-9
2018-09-30,$-13
2018-06-30,$-6
2018-03-31,$-4
2017-12-31,$-8
2017-09-30,$-8
2017-06-30,$-7
2017-03-31,$-8
2016-12-31,$-6
2016-09-30,$-8
2016-06-30,$-6
2016-03-31,$-3
2015-12-31,$-4
2015-09-30,$-4
2015-06-30,$1
2015-03-31,$-9
2014-12-31,$9
2014-09-30,$4
2014-06-30,
2014-03-31,
2013-12-31,
2013-09-30,$1
2012-12-31,
2011-12-31,
