Pediatrix Medical Quarterly Net Income (Millions of US $),Pediatrix Medical Quarterly Net Income (Millions of US $).1
2024-06-30,$-153
2024-03-31,$4
2023-12-31,$-124
2023-09-30,$21
2023-06-30,$28
2023-03-31,$14
2022-12-31,$30
2022-09-30,$31
2022-06-30,$27
2022-03-31,$-21
2021-12-31,$48
2021-09-30,$31
2021-06-30,$35
2021-03-31,$18
2020-12-31,$-64
2020-09-30,$-41
2020-06-30,$-672
2020-03-31,$-19
2019-12-31,$9
2019-09-30,"$-1,256"
2019-06-30,$-8
2019-03-31,$-243
2018-12-31,$60
2018-09-30,$66
2018-06-30,$79
2018-03-31,$63
2017-12-31,$136
2017-09-30,$66
2017-06-30,$64
2017-03-31,$55
2016-12-31,$78
2016-09-30,$97
2016-06-30,$82
2016-03-31,$68
2015-12-31,$93
2015-09-30,$91
2015-06-30,$84
2015-03-31,$69
2014-12-31,$88
2014-09-30,$86
2014-06-30,$79
2014-03-31,$64
2013-12-31,$79
2013-09-30,$77
2013-06-30,$69
2013-03-31,$55
2012-12-31,$66
2012-09-30,$66
2012-06-30,$61
2012-03-31,$48
2011-12-31,$58
2011-09-30,$58
2011-06-30,$56
2011-03-31,$45
2010-12-31,$54
2010-09-30,$61
2010-06-30,$49
2010-03-31,$38
2009-12-31,$50
2009-09-30,$48
2009-06-30,$43
2009-03-31,$34
