Amedisys Quarterly Net Income (Millions of US $),Amedisys Quarterly Net Income (Millions of US $).1
2024-06-30,$32
2024-03-31,$14
2023-12-31,$19
2023-09-30,$26
2023-06-30,$-80
2023-03-31,$25
2022-12-31,$32
2022-09-30,$26
2022-06-30,$30
2022-03-31,$32
2021-12-31,$34
2021-09-30,$45
2021-06-30,$80
2021-03-31,$50
2020-12-31,$45
2020-09-30,$72
2020-06-30,$35
2020-03-31,$32
2019-12-31,$28
2019-09-30,$34
2019-06-30,$34
2019-03-31,$31
2018-12-31,$27
2018-09-30,$31
2018-06-30,$33
2018-03-31,$27
2017-12-31,$-4
2017-09-30,$15
2017-06-30,$4
2017-03-31,$15
2016-12-31,$9
2016-09-30,$11
2016-06-30,$11
2016-03-31,$6
2015-12-31,$13
2015-09-30,$8
2015-06-30,$11
2015-03-31,$-35
2014-12-31,$9
2014-09-30,$8
2014-06-30,$8
2014-03-31,$-12
2013-12-31,$-10
2013-09-30,$-91
2013-06-30,$2
2013-03-31,$3
2012-12-31,$-107
2012-09-30,$10
2012-06-30,$8
2012-03-31,$5
2011-12-31,$4
2011-09-30,$-424
2011-06-30,$22
2011-03-31,$15
2010-12-31,$22
2010-09-30,$22
2010-06-30,$32
2010-03-31,$37
2009-12-31,$38
2009-09-30,$36
2009-06-30,$35
2009-03-31,$27
