Intra-Cellular Therapies Quarterly Net Income (Millions of US $),Intra-Cellular Therapies Quarterly Net Income (Millions of US $).1
2024-06-30,$-16
2024-03-31,$-15
2023-12-31,$-29
2023-09-30,$-24
2023-06-30,$-43
2023-03-31,$-44
2022-12-31,$-44
2022-09-30,$-54
2022-06-30,$-87
2022-03-31,$-72
2021-12-31,$-86
2021-09-30,$-77
2021-06-30,$-69
2021-03-31,$-53
2020-12-31,$-61
2020-09-30,$-55
2020-06-30,$-64
2020-03-31,$-47
2019-12-31,$-41
2019-09-30,$-35
2019-06-30,$-37
2019-03-31,$-35
2018-12-31,$-41
2018-09-30,$-42
2018-06-30,$-37
2018-03-31,$-35
2017-12-31,$-30
2017-09-30,$-23
2017-06-30,$-18
2017-03-31,$-27
2016-12-31,$-27
2016-09-30,$-30
2016-06-30,$-31
2016-03-31,$-28
2015-12-31,$-29
2015-09-30,$-32
2015-06-30,$-22
2015-03-31,$-22
2014-12-31,$-15
2014-09-30,$-6
2014-06-30,$-5
2014-03-31,$-5
2013-12-31,$-8
2013-09-30,$-5
2013-06-30,$-8
2013-03-31,$-6
2012-12-31,
2012-09-30,$-2
