NMI Holdings Inc Quarterly Net Income (Millions of US $),NMI Holdings Inc Quarterly Net Income (Millions of US $).1
2024-06-30,$92
2024-03-31,$89
2023-12-31,$83
2023-09-30,$84
2023-06-30,$80
2023-03-31,$74
2022-12-31,$73
2022-09-30,$77
2022-06-30,$75
2022-03-31,$68
2021-12-31,$61
2021-09-30,$60
2021-06-30,$58
2021-03-31,$53
2020-12-31,$48
2020-09-30,$38
2020-06-30,$27
2020-03-31,$58
2019-12-31,$50
2019-09-30,$50
2019-06-30,$39
2019-03-31,$33
2018-12-31,$36
2018-09-30,$25
2018-06-30,$25
2018-03-31,$22
2017-12-31,$-2
2017-09-30,$12
2017-06-30,$6
2017-03-31,$5
2016-12-31,$60
2016-09-30,$6
2016-06-30,$2
2016-03-31,$-4
2015-12-31,$-5
2015-09-30,$-5
2015-06-30,$-10
2015-03-31,$-8
2014-12-31,$-10
2014-09-30,$-11
2014-06-30,$-13
2014-03-31,$-15
2013-12-31,$-13
2013-09-30,$-14
2013-06-30,$-16
2013-03-31,$-12
2012-12-31,
2012-09-30,$-8
2012-06-30,$-6
2011-12-31,
