Summit Therapeutics Quarterly Net Income (Millions of US $),Summit Therapeutics Quarterly Net Income (Millions of US $).1
2024-06-30,$-60
2024-03-31,$-43
2023-12-31,$-37
2023-09-30,$-21
2023-06-30,$-15
2023-03-31,$-542
2022-12-31,$-19
2022-09-30,$-21
2022-06-30,$-17
2022-03-31,$-21
2021-12-31,$-27
2021-09-30,$-20
2021-06-30,$-24
2021-03-31,$-17
2020-12-31,$-14
2020-09-30,$-18
2020-06-30,$-15
2020-03-31,$-6
2019-12-31,$-9
2019-10-31,$-9
2019-09-30,$-6
2019-07-31,$-7
2019-04-30,$-5
2019-01-31,$30
2018-10-31,$-11
2018-07-31,$35
2018-04-30,$-8
2018-01-31,$-26
2017-10-31,$-2
2017-07-31,$14
2017-04-30,$-6
2017-01-31,$-34
2016-10-31,$-6
2016-07-31,$-8
2016-04-30,$-8
2016-01-31,$-4
2015-10-31,$-7
2015-07-31,$-6
2015-04-30,$-5
2015-03-31,$-5
2015-01-31,$0
2014-12-31,$-2
