Illumina Quarterly Net Income (Millions of US $),Illumina Quarterly Net Income (Millions of US $).1
2024-06-30,"$-1,988"
2024-03-31,$-126
2023-12-31,$-176
2023-09-30,$-754
2023-06-30,$-234
2023-03-31,$3
2022-12-31,$-139
2022-09-30,"$-3,816"
2022-06-30,$-535
2022-03-31,$86
2021-12-31,$113
2021-09-30,$317
2021-06-30,$185
2021-03-31,$147
2020-12-31,$257
2020-09-30,$179
2020-06-30,$47
2020-03-31,$173
2019-12-31,$239
2019-09-30,$234
2019-06-30,$296
2019-03-31,$233
2018-12-31,$210
2018-09-30,$199
2018-06-30,$209
2018-03-31,$208
2017-12-31,$68
2017-09-30,$163
2017-06-30,$128
2017-03-31,$367
2016-12-31,$124
2016-09-30,$129
2016-06-30,$120
2016-03-31,$90
2015-12-31,$105
2015-09-30,$118
2015-06-30,$102
2015-03-31,$137
2014-12-31,$153
2014-09-30,$93
2014-06-30,$47
2014-03-31,$60
2013-12-31,$81
2013-09-30,$31
2013-06-30,$36
2013-03-31,$-23
2012-12-31,$72
2012-09-30,$30
2012-06-30,$23
2012-03-31,$26
2011-12-31,$12
2011-09-30,$20
2011-06-30,$31
2011-03-31,$24
2010-12-31,$38
2010-09-30,$35
2010-06-30,$30
2010-03-31,$21
2009-12-31,$12
2009-09-30,$17
2009-06-30,$25
2009-03-31,$19
