OPKO Health Quarterly Net Income (Millions of US $),OPKO Health Quarterly Net Income (Millions of US $).1
2024-06-30,$-10
2024-03-31,$-82
2023-12-31,$-66
2023-09-30,$-84
2023-06-30,$-20
2023-03-31,$-18
2022-12-31,$-85
2022-09-30,$-86
2022-06-30,$-102
2022-03-31,$-55
2021-12-31,$-74
2021-09-30,$29
2021-06-30,$-16
2021-03-31,$31
2020-12-31,$32
2020-09-30,$24
2020-06-30,$34
2020-03-31,$-59
2019-12-31,$-112
2019-09-30,$-62
2019-06-30,$-60
2019-03-31,$-81
2018-12-31,$-76
2018-09-30,$-28
2018-06-30,$-6
2018-03-31,$-43
2017-12-31,$-218
2017-09-30,$-36
2017-06-30,$-17
2017-03-31,$-35
2016-12-31,$-37
2016-09-30,$-15
2016-06-30,$16
2016-03-31,$-12
2015-12-31,$2
2015-09-30,$128
2015-06-30,$-43
2015-03-31,$-117
2014-12-31,$-53
2014-09-30,$-49
2014-06-30,$-25
2014-03-31,$-45
2013-12-31,$-17
2013-09-30,$-60
2013-06-30,$-3
2013-03-31,$-35
2012-12-31,$-1
2012-09-30,$-10
2012-06-30,$-11
2012-03-31,$-9
2011-12-31,$18
2011-09-30,$-9
2011-06-30,$-6
2011-03-31,$-6
2010-12-31,$-1
2010-09-30,$-8
2010-06-30,$-7
2010-03-31,$-5
2009-12-31,$-10
2009-09-30,$-10
2009-06-30,$-6
2009-03-31,$-9
