CONMED Quarterly Net Income (Millions of US $),CONMED Quarterly Net Income (Millions of US $).1
2024-06-30,$30
2024-03-31,$20
2023-12-31,$33
2023-09-30,$16
2023-06-30,$14
2023-03-31,$2
2022-12-31,$27
2022-09-30,$46
2022-06-30,$-168
2022-03-31,$15
2021-12-31,$24
2021-09-30,$15
2021-06-30,$13
2021-03-31,$10
2020-12-31,$24
2020-09-30,$7
2020-06-30,$-27
2020-03-31,$6
2019-12-31,$15
2019-09-30,$7
2019-06-30,$6
2019-03-31,$1
2018-12-31,$16
2018-09-30,$6
2018-06-30,$9
2018-03-31,$11
2017-12-31,$47
2017-09-30,$7
2017-06-30,$6
2017-03-31,$-5
2016-12-31,$7
2016-09-30,$7
2016-06-30,$3
2016-03-31,$-2
2015-12-31,$8
2015-09-30,$9
2015-06-30,$7
2015-03-31,$6
2014-12-31,$11
2014-09-30,$2
2014-06-30,$10
2014-03-31,$9
2013-12-31,$10
2013-09-30,$6
2013-06-30,$10
2013-03-31,$10
2012-12-31,$11
2012-09-30,$9
2012-06-30,$10
2012-03-31,$10
2011-12-31,$-25
2011-09-30,$8
2011-06-30,$9
2011-03-31,$9
2010-12-31,$7
2010-09-30,$9
2010-06-30,$7
2010-03-31,$7
2009-12-31,$5
2009-09-30,$1
2009-06-30,$1
2009-03-31,$4
