Alkermes Quarterly Net Income (Millions of US $),Alkermes Quarterly Net Income (Millions of US $).1
2024-06-30,$91
2024-03-31,$37
2023-12-31,$113
2023-09-30,$48
2023-06-30,$237
2023-03-31,$-42
2022-12-31,$-28
2022-09-30,$-64
2022-06-30,$-30
2022-03-31,$-36
2021-12-31,$1
2021-09-30,$-29
2021-06-30,$2
2021-03-31,$-22
2020-12-31,$-43
2020-09-30,$-0
2020-06-30,$-29
2020-03-31,$-39
2019-12-31,$-5
2019-09-30,$-53
2019-06-30,$-42
2019-03-31,$-96
2018-12-31,$-10
2018-09-30,$-34
2018-06-30,$-33
2018-03-31,$-63
2017-12-31,$-10
2017-09-30,$-36
2017-06-30,$-43
2017-03-31,$-69
2016-12-31,$-21
2016-09-30,$-63
2016-06-30,$-47
2016-03-31,$-77
2015-12-31,$-69
2015-09-30,$-81
2015-06-30,$-46
2015-03-31,$-31
2014-12-31,$31
2014-09-30,$-40
2014-06-30,$4
2014-03-31,$-24
2013-12-31,$18
2013-09-30,$-8
2013-06-30,$7
2013-03-31,$3
2012-12-31,$16
2012-09-30,$-17
2012-06-30,$22
2012-03-31,$-63
2011-12-31,$-15
2011-09-30,$-22
2011-06-30,$-13
2011-03-31,
2010-12-31,$-11
2010-09-30,$-8
2010-06-30,$-13
2010-03-31,
2009-12-31,$-7
2009-09-30,$-9
2009-06-30,$-10
2009-03-31,
