Jefferies Financial Group Quarterly Net Income (Millions of US $),Jefferies Financial Group Quarterly Net Income (Millions of US $).1
2024-08-31,$167
2024-05-31,$146
2024-02-29,$150
2023-11-30,$66
2023-08-31,$51
2023-05-31,$12
2023-02-28,$134
2022-11-30,$140
2022-08-31,$195
2022-05-31,$114
2022-02-28,$327
2021-11-30,$325
2021-08-31,$407
2021-05-31,$353
2021-02-28,$582
2020-11-30,$307
2020-08-31,$304
2020-05-31,$45
2020-02-29,$113
2019-11-30,$196
2019-08-31,$48
2019-05-31,$671
2019-02-28,$45
2018-11-30,$48
2018-09-30,$193
2018-06-30,$726
2018-05-31,$726
2018-03-31,$125
2018-02-28,$125
2017-12-31,$-272
2017-11-30,$-272
2017-09-30,$99
2017-06-30,$58
2017-03-31,$281
2016-12-31,$137
2016-09-30,$154
2016-06-30,$57
2016-03-31,$-223
2015-12-31,$56
2015-09-30,$-173
2015-06-30,$16
2015-03-31,$381
2014-12-31,$-10
2014-09-30,$55
2014-06-30,$65
2014-03-31,$94
2013-12-31,$9
2013-09-30,$3
2013-06-30,$53
2013-03-31,$305
2012-12-31,$454
2012-09-30,$107
2012-06-30,$-197
2012-03-31,$491
2011-12-31,$119
2011-09-30,$-291
2011-06-30,$186
2011-03-31,$11
2010-12-31,"$1,695"
2010-09-30,$288
2010-06-30,$-235
2010-03-31,$191
2009-12-31,$-91
2009-09-30,$370
2009-06-30,$411
2009-03-31,$-140
