National HealthCare Quarterly Net Income (Millions of US $),National HealthCare Quarterly Net Income (Millions of US $).1
2024-06-30,$27
2024-03-31,$26
2023-12-31,$28
2023-09-30,$10
2023-06-30,$16
2023-03-31,$12
2022-12-31,$6
2022-09-30,$-2
2022-06-30,$3
2022-03-31,$15
2021-12-31,$16
2021-09-30,$-3
2021-06-30,$105
2021-03-31,$21
2020-12-31,$28
2020-09-30,$13
2020-06-30,$28
2020-03-31,$-27
2019-12-31,$14
2019-09-30,$19
2019-06-30,$14
2019-03-31,$21
2018-12-31,$18
2018-09-30,$21
2018-06-30,$22
2018-03-31,$-3
2017-12-31,$21
2017-09-30,$11
2017-06-30,$11
2017-03-31,$13
2016-12-31,$14
2016-09-30,$11
2016-06-30,$12
2016-03-31,$14
2015-12-31,$15
2015-09-30,$10
2015-06-30,$10
2015-03-31,$11
2014-12-31,$13
2014-09-30,$11
2014-06-30,$10
2014-03-31,$11
2013-12-31,$14
2013-09-30,$18
2013-06-30,$12
2013-03-31,$12
2012-12-31,$14
2012-09-30,$15
2012-06-30,$11
2012-03-31,$10
2011-12-31,$13
2011-09-30,$15
2011-06-30,$11
2011-03-31,$17
2010-12-31,$13
2010-09-30,$13
2010-06-30,$10
2010-03-31,$8
2009-12-31,$5
2009-09-30,$10
2009-06-30,$9
2009-03-31,$7
