Cytokinetics Quarterly Net Income (Millions of US $),Cytokinetics Quarterly Net Income (Millions of US $).1
2024-06-30,$-143
2024-03-31,$-136
2023-12-31,$-137
2023-09-30,$-129
2023-06-30,$-129
2023-03-31,$-131
2022-12-31,$-137
2022-09-30,$-142
2022-06-30,$-20
2022-03-31,$-89
2021-12-31,$-31
2021-09-30,$-76
2021-06-30,$-62
2021-03-31,$-47
2020-12-31,$-44
2020-09-30,$-3
2020-06-30,$-41
2020-03-31,$-39
2019-12-31,$-31
2019-09-30,$-30
2019-06-30,$-32
2019-03-31,$-29
2018-12-31,$-26
2018-09-30,$-22
2018-06-30,$-28
2018-03-31,$-30
2017-12-31,$-40
2017-09-30,$-32
2017-06-30,$-29
2017-03-31,$-26
2016-12-31,$7
2016-09-30,$33
2016-06-30,$-12
2016-03-31,$-12
2015-12-31,$-9
2015-09-30,$-9
2015-06-30,$-11
2015-03-31,$-9
2014-12-31,$8
2014-09-30,$-6
2014-06-30,$-8
2014-03-31,$-9
2013-12-31,$7
2013-09-30,$-13
2013-06-30,$-15
2013-03-31,$-13
2012-12-31,$-11
2012-09-30,$-10
2012-06-30,$-10
2012-03-31,$-10
2011-12-31,$-12
2011-09-30,$-11
2011-06-30,$-16
2011-03-31,$-12
2010-12-31,$-12
2010-09-30,$-12
2010-06-30,$-13
2010-03-31,$-12
2009-12-31,$-13
2009-09-30,$-8
2009-06-30,$56
2009-03-31,$-11
