Novartis AG Quarterly Net Income (Millions of US $),Novartis AG Quarterly Net Income (Millions of US $).1
2024-06-30,"$3,246"
2024-03-31,"$2,688"
2023-12-31,"$8,480"
2023-09-30,"$1,761"
2023-06-30,"$2,316"
2023-03-31,"$2,293"
2022-12-31,"$1,466"
2022-09-30,"$1,573"
2022-06-30,"$1,694"
2022-03-31,"$2,222"
2021-12-31,"$16,308"
2021-09-30,"$2,758"
2021-06-30,"$2,896"
2021-03-31,"$2,059"
2020-12-31,"$2,094"
2020-09-30,"$1,935"
2020-06-30,"$1,867"
2020-03-31,"$2,176"
2019-12-31,"$1,125"
2019-09-30,"$2,042"
2019-06-30,"$6,799"
2019-03-31,"$1,766"
2018-12-31,"$1,195"
2018-09-30,"$1,623"
2018-06-30,"$7,768"
2018-03-31,"$2,025"
2017-12-31,"$1,976"
2017-09-30,"$2,081"
2017-06-30,"$1,980"
2017-03-31,"$1,666"
2016-12-31,$957
2016-09-30,"$1,940"
2016-06-30,"$1,804"
2016-03-31,"$2,011"
2015-12-31,"$1,054"
2015-09-30,"$1,888"
2015-06-30,"$1,836"
2015-03-31,"$13,005"
2014-12-31,"$1,491"
2014-09-30,"$3,223"
2014-06-30,"$2,555"
2014-03-31,"$2,941"
2013-12-31,"$2,029"
2013-09-30,"$2,232"
2013-06-30,"$2,516"
2013-03-31,"$2,398"
2012-12-31,"$1,985"
2012-09-30,"$2,390"
2012-06-30,"$2,648"
2012-03-31,"$2,247"
2011-12-31,"$1,002"
2011-09-30,"$2,464"
2011-06-30,"$2,704"
2011-03-31,"$2,770"
2010-12-31,"$2,169"
2010-09-30,"$2,275"
2010-06-30,"$2,417"
2010-03-31,"$2,933"
2009-12-31,"$2,305"
2009-09-30,"$2,098"
2009-06-30,"$2,035"
2009-03-31,"$1,962"
