Ultragenyx Pharmaceutical Quarterly Net Income (Millions of US $),Ultragenyx Pharmaceutical Quarterly Net Income (Millions of US $).1
2024-06-30,$-132
2024-03-31,$-171
2023-12-31,$-123
2023-09-30,$-160
2023-06-30,$-160
2023-03-31,$-164
2022-12-31,$-152
2022-09-30,$-245
2022-06-30,$-158
2022-03-31,$-152
2021-12-31,$-122
2021-09-30,$-73
2021-06-30,$-122
2021-03-31,$-136
2020-12-31,$-24
2020-09-30,$-69
2020-06-30,$25
2020-03-31,$-119
2019-12-31,$-94
2019-09-30,$-113
2019-06-30,$-99
2019-03-31,$-97
2018-12-31,$-88
2018-09-30,$-87
2018-06-30,$-53
2018-03-31,$30
2017-12-31,$-82
2017-09-30,$-79
2017-06-30,$-73
2017-03-31,$-68
2016-12-31,$-71
2016-09-30,$-65
2016-06-30,$-57
2016-03-31,$-53
2015-12-31,$-55
2015-09-30,$-39
2015-06-30,$-30
2015-03-31,$-21
2014-12-31,$-17
2014-09-30,$-16
2014-06-30,$-14
2014-03-31,$-18
2013-12-31,$-19
2013-09-30,$-13
2013-06-30,$-11
2013-03-31,$-8
2012-12-31,
2011-12-31,
