Oxford Industries Quarterly Net Income (Millions of US $),Oxford Industries Quarterly Net Income (Millions of US $).1
2024-07-31,$41
2024-04-30,$38
2024-01-31,$-60
2023-10-31,$11
2023-07-31,$51
2023-04-30,$59
2023-01-31,$32
2022-10-31,$20
2022-07-31,$57
2022-04-30,$57
2022-01-31,$25
2021-10-31,$26
2021-07-31,$51
2021-04-30,$28
2021-01-31,$-12
2020-10-31,$-11
2020-07-31,$-6
2020-04-30,$-67
2020-01-31,$15
2019-10-31,$2
2019-07-31,$30
2019-04-30,$22
2019-01-31,$17
2018-10-31,$2
2018-07-31,$27
2018-04-30,$21
2018-01-31,$24
2017-10-31,$1
2017-07-31,$23
2017-04-30,$17
2017-01-31,$10
2016-10-31,$-2
2016-07-31,$24
2016-04-30,$20
2016-01-31,$17
2015-10-31,$-2
2015-07-31,$-2
2015-04-30,$17
2015-01-31,$16
2014-10-31,$-0
2014-07-31,$15
2014-04-30,$15
2014-01-31,$15
2013-10-31,$1
2013-07-31,$16
2013-04-30,$14
2013-01-31,$5
2012-10-31,$3
2012-07-31,$5
2012-04-30,$18
2012-01-31,$7
2011-10-31,$2
2011-07-31,$3
2011-04-30,$18
2011-01-31,$53
2010-10-31,$6
2010-07-31,$7
2010-04-30,$12
2010-01-31,$4
2009-10-31,$4
2009-07-31,$-0
2009-04-30,$7
2009-01-31,$4
