CVS Health Quarterly Net Income (Millions of US $),CVS Health Quarterly Net Income (Millions of US $).1
2024-06-30,"$1,770"
2024-03-31,"$1,113"
2023-12-31,"$2,046"
2023-09-30,"$2,261"
2023-06-30,"$1,901"
2023-03-31,"$2,136"
2022-12-31,"$2,334"
2022-09-30,"$-3,406"
2022-06-30,"$3,029"
2022-03-31,"$2,354"
2021-12-31,"$1,397"
2021-09-30,"$1,598"
2021-06-30,"$2,783"
2021-03-31,"$2,223"
2020-12-31,$973
2020-09-30,"$1,224"
2020-06-30,"$2,975"
2020-03-31,"$2,007"
2019-12-31,"$1,747"
2019-09-30,"$1,530"
2019-06-30,"$1,936"
2019-03-31,"$1,421"
2018-12-31,$-419
2018-09-30,"$1,390"
2018-06-30,"$-2,563"
2018-03-31,$998
2017-12-31,"$3,287"
2017-09-30,"$1,285"
2017-06-30,"$1,098"
2017-03-31,$952
2016-12-31,"$1,707"
2016-09-30,"$1,540"
2016-06-30,$924
2016-03-31,"$1,146"
2015-12-31,"$1,498"
2015-09-30,"$1,246"
2015-06-30,"$1,272"
2015-03-31,"$1,221"
2014-12-31,"$1,321"
2014-09-30,$948
2014-06-30,"$1,246"
2014-03-31,"$1,129"
2013-12-31,"$1,265"
2013-09-30,"$1,249"
2013-06-30,"$1,124"
2013-03-31,$954
2012-12-31,"$1,116"
2012-09-30,"$1,006"
2012-06-30,$966
2012-03-31,$776
2011-12-31,"$1,065"
2011-09-30,$868
2011-06-30,$816
2011-03-31,$713
2010-12-31,"$1,026"
2010-09-30,$809
2010-06-30,$821
2010-03-31,$771
2009-12-31,"$1,051"
2009-09-30,"$1,021"
2009-06-30,$886
2009-03-31,$738
