Intellia Therapeutics Quarterly Net Income (Millions of US $),Intellia Therapeutics Quarterly Net Income (Millions of US $).1
2024-06-30,$-147
2024-03-31,$-107
2023-12-31,$-132
2023-09-30,$-122
2023-06-30,$-124
2023-03-31,$-103
2022-12-31,$-113
2022-09-30,$-113
2022-06-30,$-101
2022-03-31,$-147
2021-12-31,$-81
2021-09-30,$-72
2021-06-30,$-69
2021-03-31,$-46
2020-12-31,$-42
2020-09-30,$-28
2020-06-30,$-32
2020-03-31,$-32
2019-12-31,$-28
2019-09-30,$-24
2019-06-30,$-26
2019-03-31,$-22
2018-12-31,$-19
2018-09-30,$-23
2018-06-30,$-22
2018-03-31,$-21
2017-12-31,$-24
2017-09-30,$-15
2017-06-30,$-16
2017-03-31,$-13
2016-12-31,$-11
2016-09-30,$-7
2016-06-30,$-7
2016-03-31,$-7
2015-12-31,$-5
2015-09-30,$-3
2015-06-30,$-3
2015-03-31,$-1
2014-12-31,
