Dynavax Technologies Quarterly Net Income (Millions of US $),Dynavax Technologies Quarterly Net Income (Millions of US $).1
2024-06-30,$11
2024-03-31,$-9
2023-12-31,$0
2023-09-30,$14
2023-06-30,$3
2023-03-31,$-24
2022-12-31,$68
2022-09-30,$64
2022-06-30,$129
2022-03-31,$33
2021-12-31,$95
2021-09-30,$-28
2021-06-30,$4
2021-03-31,$1
2020-12-31,$-15
2020-09-30,$4
2020-06-30,$-52
2020-03-31,$-13
2019-12-31,$-37
2019-09-30,$-37
2019-06-30,$-43
2019-03-31,$-40
2018-12-31,$-40
2018-09-30,$-41
2018-06-30,$-39
2018-03-31,$-39
2017-12-31,$-27
2017-09-30,$-22
2017-06-30,$-20
2017-03-31,$-25
2016-12-31,$-22
2016-09-30,$-35
2016-06-30,$-29
2016-03-31,$-27
2015-12-31,$-27
2015-09-30,$-30
2015-06-30,$-24
2015-03-31,$-26
2014-12-31,$-22
2014-09-30,$-30
2014-06-30,$-25
2014-03-31,$-14
2013-12-31,$-22
2013-09-30,$-16
2013-06-30,$-17
2013-03-31,$-21
2012-12-31,$-21
2012-09-30,$-18
2012-06-30,$-15
2012-03-31,$-17
2011-12-31,$-4
2011-09-30,$-15
2011-06-30,$-11
2011-03-31,$-18
2010-12-31,$-15
2010-09-30,$-5
2010-06-30,$-28
2010-03-31,$-9
2009-12-31,$-30
2009-09-30,$-10
2009-06-30,$4
2009-03-31,$5
