PTC Therapeutics Quarterly Net Income (Millions of US $),PTC Therapeutics Quarterly Net Income (Millions of US $).1
2024-06-30,$-99
2024-03-31,$-92
2023-12-31,$-156
2023-09-30,$-133
2023-06-30,$-199
2023-03-31,$-139
2022-12-31,$-171
2022-09-30,$-109
2022-06-30,$-152
2022-03-31,$-127
2021-12-31,$-143
2021-09-30,$-134
2021-06-30,$-118
2021-03-31,$-129
2020-12-31,$-74
2020-09-30,$-70
2020-06-30,$-181
2020-03-31,$-113
2019-12-31,$-78
2019-09-30,$-60
2019-06-30,$-42
2019-03-31,$-72
2018-12-31,$-48
2018-09-30,$-51
2018-06-30,$-10
2018-03-31,$-19
2017-12-31,$1
2017-09-30,$-34
2017-06-30,$-17
2017-03-31,$-29
2016-12-31,$-27
2016-09-30,$-35
2016-06-30,$-39
2016-03-31,$-41
2015-12-31,$-51
2015-09-30,$-43
2015-06-30,$-38
2015-03-31,$-38
2014-12-31,$-27
2014-09-30,$-27
2014-06-30,$-25
2014-03-31,$-14
2013-12-31,$-18
2013-09-30,$-4
2013-06-30,$-15
2013-03-31,$-30
2012-12-31,$-6
2012-09-30,$-7
2012-06-30,$154
2012-03-31,$-7
2011-12-31,
