Elevance Health Quarterly Net Income (Millions of US $),Elevance Health Quarterly Net Income (Millions of US $).1
2024-06-30,"$2,300"
2024-03-31,"$2,246"
2023-12-31,$856
2023-09-30,"$1,289"
2023-06-30,"$1,853"
2023-03-31,"$1,989"
2022-12-31,$865
2022-09-30,"$1,603"
2022-06-30,"$1,637"
2022-03-31,"$1,789"
2021-12-31,"$1,191"
2021-09-30,"$1,509"
2021-06-30,"$1,793"
2021-03-31,"$1,665"
2020-12-31,$551
2020-09-30,$222
2020-06-30,"$2,276"
2020-03-31,"$1,523"
2019-12-31,$934
2019-09-30,"$1,183"
2019-06-30,"$1,139"
2019-03-31,"$1,551"
2018-12-31,$424
2018-09-30,$960
2018-06-30,"$1,054"
2018-03-31,"$1,312"
2017-12-31,"$1,231"
2017-09-30,$747
2017-06-30,$855
2017-03-31,"$1,010"
2016-12-31,$369
2016-09-30,$618
2016-06-30,$781
2016-03-31,$703
2015-12-31,$181
2015-09-30,$655
2015-06-30,$859
2015-03-31,$865
2014-12-31,$507
2014-09-30,$631
2014-06-30,$731
2014-03-31,$701
2013-12-31,$148
2013-09-30,$656
2013-06-30,$800
2013-03-31,$885
2012-12-31,$464
2012-09-30,$691
2012-06-30,$644
2012-03-31,$857
2011-12-31,$335
2011-09-30,$683
2011-06-30,$702
2011-03-31,$927
2010-12-31,$549
2010-09-30,$739
2010-06-30,$722
2010-03-31,$877
2009-12-31,"$2,742"
2009-09-30,$730
2009-06-30,$694
2009-03-31,$580
