BioCryst Pharmaceuticals Quarterly Net Income (Millions of US $),BioCryst Pharmaceuticals Quarterly Net Income (Millions of US $).1
2024-06-30,$-13
2024-03-31,$-35
2023-12-31,$-62
2023-09-30,$-36
2023-06-30,$-75
2023-03-31,$-53
2022-12-31,$-72
2022-09-30,$-43
2022-06-30,$-59
2022-03-31,$-74
2021-12-31,$-18
2021-09-30,$-59
2021-06-30,$-43
2021-03-31,$-64
2020-12-31,$-60
2020-09-30,$-46
2020-06-30,$-39
2020-03-31,$-38
2019-12-31,$-3
2019-09-30,$-38
2019-06-30,$-38
2019-03-31,$-31
2018-12-31,$-27
2018-09-30,$-30
2018-06-30,$-18
2018-03-31,$-26
2017-12-31,$-20
2017-09-30,$-15
2017-06-30,$-17
2017-03-31,$-14
2016-12-31,$-5
2016-09-30,$-12
2016-06-30,$-16
2016-03-31,$-23
2015-12-31,$-18
2015-09-30,$-15
2015-06-30,$5
2015-03-31,$-15
2014-12-31,$-12
2014-09-30,$-9
2014-06-30,$-15
2014-03-31,$-10
2013-12-31,$-5
2013-09-30,$-8
2013-06-30,$-12
2013-03-31,$-5
2012-12-31,$-11
2012-09-30,$-10
2012-06-30,$-12
2012-03-31,$-6
2011-12-31,$-13
2011-09-30,$-14
2011-06-30,$-16
2011-03-31,$-13
2010-12-31,$-10
2010-09-30,$-11
2010-06-30,$-10
2010-03-31,$-3
2009-12-31,$15
2009-09-30,$-11
2009-06-30,$-9
2009-03-31,$-9
