Amdocs Quarterly Net Income (Millions of US $),Amdocs Quarterly Net Income (Millions of US $).1
2024-06-30,$138
2024-03-31,$119
2023-12-31,$145
2023-09-30,$98
2023-06-30,$157
2023-03-31,$150
2022-12-31,$128
2022-09-30,$125
2022-06-30,$127
2022-03-31,$158
2021-12-31,$132
2021-09-30,$122
2021-06-30,$145
2021-03-31,$118
2020-12-31,$297
2020-09-30,$132
2020-06-30,$120
2020-03-31,$126
2019-12-31,$116
2019-09-30,$120
2019-06-30,$131
2019-03-31,$123
2018-12-31,$102
2018-09-30,$43
2018-06-30,$91
2018-03-31,$101
2017-12-31,$117
2017-09-30,$105
2017-06-30,$119
2017-03-31,$112
2016-12-31,$98
2016-09-30,$96
2016-06-30,$105
2016-03-31,$108
2015-12-31,$101
2015-09-30,$87
2015-06-30,$108
2015-03-31,$116
2014-12-31,$131
2014-09-30,$96
2014-06-30,$110
2014-03-31,$110
2013-12-31,$101
2013-09-30,$89
2013-06-30,$120
2013-03-31,$105
2012-12-31,$99
2012-09-30,$98
2012-06-30,$99
2012-03-31,$102
2011-12-31,$93
2011-09-30,$87
2011-06-30,$92
2011-03-31,$94
2010-12-31,$73
2010-09-30,$95
2010-06-30,$92
2010-03-31,$69
2009-12-31,$88
2009-09-30,$86
2009-06-30,$86
2009-03-31,$81
