AstraZeneca Quarterly Net Income (Millions of US $),AstraZeneca Quarterly Net Income (Millions of US $).1
2024-06-30,"$1,927"
2024-03-31,"$2,180"
2023-12-31,$959
2023-09-30,"$1,374"
2023-06-30,"$1,818"
2023-03-31,"$1,804"
2022-12-31,$902
2022-09-30,"$1,640"
2022-06-30,$360
2022-03-31,$386
2021-12-31,$-347
2021-09-30,"$-1,652"
2021-06-30,$550
2021-03-31,"$1,561"
2020-12-31,"$1,012"
2020-09-30,$648
2020-06-30,$756
2020-03-31,$780
2019-12-31,$313
2019-09-30,$299
2019-06-30,$130
2019-03-31,$593
2018-12-31,"$1,034"
2018-09-30,$431
2018-06-30,$350
2018-03-31,$340
2017-12-31,"$1,301"
2017-09-30,$686
2017-06-30,$477
2017-03-31,$537
2016-12-31,"$1,842"
2016-09-30,"$1,014"
2016-06-30,$-3
2016-03-31,$646
2015-12-31,$808
2015-09-30,$770
2015-06-30,$697
2015-03-31,$550
2014-12-31,$-321
2014-09-30,$254
2014-06-30,$796
2014-03-31,$504
2013-12-31,$-524
2013-09-30,"$1,246"
2013-06-30,$823
2013-03-31,"$1,011"
2012-12-31,"$1,507"
2012-09-30,"$1,511"
2012-06-30,"$1,597"
2012-03-31,"$1,625"
2011-12-31,"$1,493"
2011-09-30,"$3,477"
2011-06-30,"$2,113"
2011-03-31,"$2,907"
2010-12-31,"$1,632"
2010-09-30,"$1,554"
2010-06-30,"$2,116"
2010-03-31,"$2,777"
2009-12-31,"$1,562"
2009-09-30,"$2,115"
2009-06-30,"$1,707"
2009-03-31,"$2,144"
