Papa John's Quarterly Net Income (Millions of US $),Papa John's Quarterly Net Income (Millions of US $).1
2024-06-30,$12
2024-03-31,$15
2023-12-31,$26
2023-09-30,$16
2023-06-30,$18
2023-03-31,$22
2022-12-31,$23
2022-09-30,$8
2022-06-30,$25
2022-03-31,$10
2021-12-31,$28
2021-09-30,$29
2021-06-30,$-80
2021-03-31,$27
2020-12-31,$10
2020-09-30,$11
2020-06-30,$16
2020-03-31,$5
2019-12-31,$-6
2019-09-30,$-3
2019-06-30,$5
2019-03-31,$-4
2018-12-31,$-13
2018-09-30,$-13
2018-06-30,$11
2018-03-31,$17
2017-12-31,$28
2017-09-30,$22
2017-06-30,$24
2017-03-31,$29
2016-12-31,$33
2016-09-30,$21
2016-06-30,$23
2016-03-31,$26
2015-12-31,$24
2015-09-30,$18
2015-06-30,$11
2015-03-31,$22
2014-12-31,$21
2014-09-30,$16
2014-06-30,$17
2014-03-31,$19
2013-12-31,$18
2013-09-30,$14
2013-06-30,$17
2013-03-31,$19
2012-12-31,$17
2012-09-30,$13
2012-06-30,$14
2012-03-31,$17
2011-12-31,$16
2011-09-30,$11
2011-06-30,$12
2011-03-31,$16
2010-12-31,$15
2010-09-30,$8
2010-06-30,$13
2010-03-31,$17
2009-12-31,$10
2009-09-30,$12
2009-06-30,$14
2009-03-31,$18
